Leg,Timestamp,Phase,Contact
18,560.222,1,0
19,560.475,1,0
13,560.477,1,1
17,560.477,1,0
5,560.477,1,1
2,560.477,1,1
18,560.478,1,0
19,560.731,1,1
13,560.733,1,1
17,560.733,1,1
5,560.733,1,1
2,560.733,0,0
18,560.734,1,1
19,560.987,1,1
17,560.989,1,1
5,560.989,1,1
2,560.989,0,0
13,560.989,1,1
18,560.99,1,1
19,561.243,1,1
2,561.245,0,0
13,561.245,0,0
5,561.245,1,1
17,561.245,0,0
18,561.246,1,1
19,561.499,1,1
13,561.501,0,0
17,561.501,0,0
5,561.501,1,1
2,561.501,0,0
18,561.502,1,1
19,561.755,1,1
13,561.757,0,0
5,561.757,1,1
17,561.757,0,0
2,561.757,0,0
18,561.758,1,1
19,562.011,1,1
2,562.013,0,0
13,562.013,0,0
5,562.013,1,1
17,562.013,0,0
18,562.014,1,1
19,562.267,1,1
13,562.269,0,0
2,562.269,0,0
17,562.269,0,0
5,562.269,1,1
18,562.27,1,1
19,562.523,1,1
17,562.525,0,0
5,562.525,1,1
13,562.526,0,0
2,562.526,0,0
18,562.527,1,1
19,562.78,1,1
17,562.781,1,1
5,562.781,1,1
13,562.782,0,0
18,562.783,1,1
2,562.783,0,0
19,563.0360000000001,1,1
5,563.037,1,1
17,563.037,1,1
13,563.038,0,0
18,563.039,1,1
2,563.039,1,1
19,563.292,1,1
5,563.293,1,1
17,563.293,1,1
13,563.294,1,1
18,563.295,1,1
2,563.296,1,1
19,563.548,1,1
5,563.549,1,1
17,563.549,1,0
13,563.55,1,1
18,563.551,1,1
2,563.552,1,1
19,563.804,1,1
5,563.805,1,1
17,563.805,1,0
13,563.806,1,1
18,563.807,1,1
2,563.808,1,1
19,564.06,1,1
5,564.061,0,0
17,564.061,1,0
13,564.062,1,1
18,564.063,1,1
2,564.064,1,1
19,564.316,1,1
17,564.317,1,0
5,564.317,0,0
13,564.318,1,1
18,564.319,1,1
2,564.3199999999999,1,1
19,564.572,1,1
17,564.573,1,0
5,564.573,0,0
13,564.574,1,1
18,564.575,1,1
2,564.576,1,1
19,564.828,0,0
17,564.829,1,1
5,564.829,0,0
13,564.83,1,1
18,564.831,1,1
2,564.832,1,1
5,565.085,0,0
17,565.085,0,0
19,565.085,0,0
13,565.086,1,1
18,565.087,1,0
2,565.088,1,1
17,565.341,0,0
19,565.341,0,0
5,565.341,0,0
13,565.342,1,1
2,565.344,1,1
18,565.344,1,1
19,565.597,0,0
5,565.597,0,0
13,565.598,1,1
17,565.599,0,0
18,565.6,1,1
2,565.6,1,1
5,565.853,0,0
19,565.853,0,0
13,565.854,1,1
17,565.855,0,0
18,565.856,1,1
5,566.109,0,0
19,566.109,0,0
13,566.11,1,1
17,566.111,0,0
2,566.112,1,1
19,566.365,0,0
5,566.365,0,0
13,566.366,1,1
17,566.367,0,0
18,566.3679999999999,0,0
2,566.3679999999999,1,1
19,566.621,0,0
5,566.621,0,0
13,566.622,1,1
17,566.623,0,0
18,566.624,0,0
2,566.624,1,1
19,566.877,0,0
5,566.877,0,0
13,566.878,1,1
18,566.88,0,0
2,566.88,1,1
5,567.133,1,1
19,567.133,0,0
13,567.134,1,1
17,567.135,0,0
2,567.136,1,1
18,567.136,0,0
5,567.389,1,1
19,567.389,0,0
13,567.39,0,0
17,567.391,1,1
2,567.392,0,0
18,567.392,0,0
5,567.645,1,1
19,567.645,0,0
13,567.646,0,0
17,567.647,1,1
2,567.648,0,0
18,567.648,0,0
5,567.901,1,1
19,567.901,1,1
13,567.902,0,0
17,567.903,1,1
2,567.904,0,0
18,567.904,0,0
19,568.157,1,1
13,568.158,0,0
17,568.159,1,1
2,568.16,0,0
18,568.16,0,0
19,568.413,1,1
13,568.414,0,0
17,568.415,1,1
2,568.4159999999999,0,0
18,568.4159999999999,1,1
19,568.669,1,1
5,568.669,1,1
13,568.67,0,0
17,568.671,1,1
2,568.672,0,0
18,568.672,1,1
19,568.925,1,1
5,568.925,1,1
13,568.926,0,0
17,568.927,1,1
18,568.928,1,1
2,568.928,0,0
19,569.181,1,1
5,569.181,1,1
13,569.182,0,0
17,569.183,1,1
2,569.184,0,0
18,569.184,1,1
5,569.437,1,1
13,569.438,0,0
18,569.44,1,1
2,569.44,0,0
19,569.693,1,1
5,569.693,1,1
17,569.6949999999999,1,1
13,569.6949999999999,0,0
18,569.696,1,1
2,569.697,0,0
5,569.949,1,1
19,569.95,1,1
17,569.951,1,1
13,569.951,0,0
18,569.952,1,1
2,569.953,0,0
5,570.205,1,1
19,570.206,1,1
17,570.207,1,1
18,570.208,1,1
13,570.208,1,1
2,570.2090000000001,0,0
19,570.462,1,1
17,570.463,1,1
18,570.4639999999999,1,1
13,570.4639999999999,1,1
2,570.465,1,1
5,570.717,1,1
19,570.718,1,1
17,570.719,1,1
18,570.72,1,1
13,570.72,1,1
2,570.721,1,1
5,570.973,1,1
19,570.974,1,1
17,570.975,1,1
13,570.976,1,1
18,570.976,1,1
2,570.977,1,1
5,571.229,0,0
19,571.23,0,0
17,571.232,1,1
18,571.232,1,1
13,571.232,1,1
2,571.233,1,1
5,571.485,0,0
19,571.486,0,0
13,571.488,1,1
17,571.488,1,1
18,571.489,1,1
5,571.741,0,0
19,571.742,0,0
17,571.744,1,1
13,571.744,1,1
2,571.745,1,1
18,571.745,1,1
5,571.997,0,0
19,571.998,0,0
13,572.0,1,1
17,572.001,1,1
2,572.001,1,1
5,572.253,0,0
19,572.254,0,0
13,572.256,1,1
18,572.2570000000001,1,1
17,572.2570000000001,0,0
2,572.2570000000001,1,1
5,572.509,0,0
19,572.51,0,0
13,572.512,1,1
17,572.513,0,0
18,572.513,1,1
19,572.766,0,0
13,572.768,1,1
17,572.769,0,0
18,572.769,1,1
2,572.769,1,1
5,573.021,0,0
19,573.022,0,0
13,573.024,1,1
17,573.025,0,0
2,573.025,1,1
18,573.026,1,1
5,573.277,0,0
19,573.278,0,0
13,573.28,1,1
17,573.281,0,0
2,573.281,1,1
18,573.282,1,1
5,573.533,0,0
19,573.534,0,0
13,573.5360000000001,1,1
17,573.537,0,0
2,573.537,1,1
18,573.538,1,1
5,573.789,0,0
19,573.79,0,0
13,573.792,1,1
17,573.793,0,0
18,573.794,1,1
2,573.794,1,1
5,574.045,0,0
19,574.046,1,1
13,574.048,1,1
17,574.049,0,0
18,574.05,1,1
2,574.05,1,1
5,574.301,1,1
19,574.303,1,1
13,574.304,0,0
17,574.3050000000001,0,0
2,574.306,1,1
18,574.307,1,1
5,574.557,1,1
13,574.56,0,0
19,574.56,1,1
17,574.561,0,0
2,574.562,0,0
18,574.563,0,0
5,574.813,1,1
13,574.816,0,0
19,574.816,1,1
17,574.817,1,1
2,574.818,0,0
18,574.819,0,0
5,575.069,1,1
13,575.072,0,0
19,575.072,1,1
17,575.073,1,1
2,575.074,0,0
18,575.075,1,1
5,575.325,1,1
13,575.328,0,0
19,575.328,1,1
17,575.329,1,1
2,575.33,0,0
18,575.331,0,1
5,575.581,1,1
13,575.5840000000001,0,0
19,575.5840000000001,1,1
17,575.585,1,1
2,575.586,0,0
18,575.587,1,1
5,575.837,1,1
13,575.84,0,0
19,575.84,1,1
17,575.841,1,1
2,575.842,0,0
18,575.844,1,1
5,576.093,1,1
19,576.096,1,1
13,576.096,0,0
2,576.098,0,0
18,576.1,1,1
5,576.349,1,1
19,576.352,1,0
13,576.352,0,0
17,576.353,1,1
2,576.354,0,0
18,576.356,1,1
5,576.607,1,1
13,576.608,0,0
19,576.609,1,0
17,576.609,1,1
2,576.61,0,0
18,576.613,1,1
19,576.865,0,0
17,576.865,1,1
13,576.866,0,0
18,576.87,1,0
5,577.12,1,1
17,577.121,1,1
19,577.121,0,0
13,577.122,0,0
2,577.122,0,0
18,577.126,1,0
5,577.376,1,1
19,577.377,0,0
2,577.378,0,0
13,577.378,0,0
17,577.379,1,1
18,577.3820000000001,1,0
5,577.6320000000001,1,1
19,577.633,0,0
2,577.634,0,0
13,577.634,1,1
17,577.635,0,0
18,577.638,0,0
5,577.888,1,1
19,577.889,0,0
13,577.89,1,1
2,577.89,0,0
17,577.891,0,0
18,577.894,0,0
19,578.145,0,0
5,578.145,1,1
13,578.146,1,1
2,578.146,1,1
17,578.147,0,0
18,578.15,0,0
5,578.401,1,1
19,578.401,0,0
13,578.402,1,1
2,578.403,1,1
17,578.403,0,0
18,578.407,0,0
19,578.657,0,0
5,578.657,1,1
13,578.658,1,1
17,578.659,1,1
2,578.659,1,1
18,578.663,0,0
19,578.913,0,0
5,578.913,0,0
13,578.914,1,1
17,578.915,1,1
2,578.915,1,1
18,578.919,0,0
5,579.169,0,0
19,579.169,0,0
13,579.17,1,1
17,579.171,1,1
2,579.171,1,1
18,579.175,0,0
5,579.425,0,0
19,579.425,0,0
13,579.426,1,1
17,579.427,1,1
2,579.427,1,1
18,579.431,0,0
5,579.681,0,0
19,579.681,0,0
13,579.682,1,1
17,579.683,1,1
2,579.683,1,1
18,579.687,0,0
5,579.937,0,0
19,579.937,1,1
13,579.938,1,1
17,579.939,1,1
2,579.939,1,1
18,579.943,0,0
19,580.193,1,1
5,580.194,0,0
13,580.194,1,1
17,580.1949999999999,1,1
2,580.1949999999999,1,1
18,580.199,0,0
19,580.449,1,1
5,580.45,0,0
13,580.45,1,1
17,580.451,1,1
2,580.452,1,1
18,580.455,0,0
19,580.705,1,1
5,580.706,0,0
13,580.706,0,0
17,580.707,1,1
2,580.708,1,1
18,580.711,0,0
13,580.962,0,0
5,580.962,0,0
19,580.962,1,1
17,580.963,1,1
2,580.9639999999999,1,1
18,580.967,0,0
5,581.218,0,0
13,581.218,0,0
19,581.218,1,1
17,581.219,1,1
2,581.22,1,1
18,581.223,1,1
13,581.474,0,0
19,581.474,1,1
5,581.474,0,0
17,581.475,1,1
2,581.476,1,1
18,581.479,1,1
13,581.73,0,0
19,581.73,1,1
5,581.73,1,1
17,581.731,1,1
2,581.732,1,1
18,581.735,1,1
5,581.986,1,1
13,581.986,0,0
19,581.986,1,1
17,581.987,1,1
2,581.988,1,1
18,581.992,1,1
5,582.242,1,1
19,582.242,1,1
13,582.242,0,0
17,582.2429999999999,1,1
2,582.244,1,1
18,582.248,1,1
5,582.498,1,1
19,582.498,1,1
13,582.498,0,0
17,582.499,1,1
2,582.501,1,1
18,582.504,1,1
5,582.754,1,1
13,582.754,0,0
19,582.754,1,1
17,582.755,1,1
2,582.7570000000001,0,0
18,582.76,1,1
13,583.01,0,0
5,583.01,1,1
19,583.01,1,1
17,583.011,1,1
2,583.013,0,0
18,583.016,1,1
13,583.266,0,0
19,583.266,1,1
5,583.266,1,1
17,583.267,0,0
2,583.269,0,0
18,583.272,1,1
5,583.522,1,1
13,583.522,0,0
19,583.522,1,1
17,583.523,0,0
2,583.525,0,0
18,583.528,1,1
13,583.778,0,0
19,583.778,1,1
5,583.778,1,1
17,583.779,0,0
2,583.781,0,0
18,583.784,1,1
5,584.034,1,1
19,584.034,1,1
13,584.034,0,0
17,584.035,0,0
2,584.037,0,0
18,584.04,1,1
5,584.29,1,1
13,584.29,0,0
19,584.29,1,1
17,584.2909999999999,0,0
2,584.294,0,0
18,584.296,1,1
19,584.546,1,1
5,584.546,1,1
13,584.546,0,0
17,584.547,0,0
