Leg,Timestamp,Phase,Contact
5,39.778,1,1
5,40.034,1,1
5,40.29,1,1
5,40.546,1,1
5,40.802,1,1
5,41.058,1,1
5,41.314,1,1
5,41.57,1,1
5,41.827,1,1
5,42.083,1,1
5,42.339,1,1
5,42.595,1,1
5,42.851,0,0
5,43.108,0,0
5,43.364,0,0
5,43.62,0,0
5,43.876,0,0
5,44.132,0,0
5,44.389,0,0
5,44.645,0,0
5,44.901,0,0
5,45.157,0,0
5,45.413,0,0
5,45.669,1,1
5,45.925,1,1
5,46.181,1,1
5,46.437,1,1
5,46.693,1,1
5,46.949,1,1
5,47.205,1,1
5,47.462,1,1
5,47.718,1,1
5,47.974,1,1
5,48.23,1,1
5,48.742,0,0
5,48.998,0,0
5,49.254,0,0
5,49.51,0,0
5,49.766,0,0
5,50.022,0,0
5,50.278,0,0
5,50.534,0,0
5,50.79,0,0
5,51.046,0,0
5,51.303,0,0
5,51.559,1,1
5,51.815,1,1
5,52.071,1,0
5,52.327,1,0
5,52.583,1,0
5,52.839,1,0
5,53.095,1,0
5,53.351,1,1
5,53.607,1,1
5,53.863,1,1
5,54.119,1,1
5,54.375,1,1
5,54.631,0,0
5,54.887,0,0
5,55.143,0,0
5,55.399,0,0
5,55.655,0,0
5,55.911,0,0
5,56.167,0,0
5,56.423,0,0
5,56.679,0,0
5,56.935,0,0
5,57.191,0,0
5,57.447,0,0
5,57.703,0,0
5,57.96,1,1
5,58.216,1,0
5,58.472,1,0
5,58.728,1,0
5,58.984,1,0
5,59.24,1,0
5,59.496,1,0
5,59.752,1,1
5,60.008,1,1
5,60.264,1,1
5,60.52,1,1
5,60.776,1,1
5,61.032,1,1
5,61.288,1,1
5,61.544,1,1
5,61.801,1,1
5,62.057,1,1
5,62.313,1,1
5,62.569,1,1
5,62.825,1,1
5,63.081,0,0
5,63.337,0,0
5,63.593,0,0
5,63.849,0,0
5,64.105,0,0
5,64.361,0,0
5,64.617,0,0
5,64.873,0,0
5,65.129,0,0
5,65.385,1,1
5,65.641,1,1
5,65.897,1,1
5,66.153,1,1
5,66.665,1,1
5,66.921,1,1
5,67.177,1,1
5,67.433,1,1
5,67.689,1,1
5,67.945,1,1
5,68.202,1,1
5,68.458,1,1
5,68.714,1,1
5,68.97,1,1
5,69.226,1,1
5,69.482,0,0
5,69.738,0,0
5,69.994,0,0
5,70.506,0,0
5,70.762,0,0
5,71.018,0,0
5,71.274,0,0
5,71.53,0,0
5,71.786,0,0
5,72.042,1,1
5,72.298,1,1
5,72.554,1,1
5,72.81,1,1
5,73.066,1,1
5,73.324,1,1
5,73.58,1,1
5,73.836,1,1
5,74.092,1,1
5,74.348,1,1
5,74.604,1,1
5,74.86,1,1
5,75.116,1,1
5,75.372,1,1
5,75.629,1,1
5,75.885,1,1
5,76.141,1,1
5,76.397,0,0
5,76.653,0,0
5,76.909,0,0
5,77.165,0,0
5,77.421,0,0
5,77.677,0,0
5,77.933,0,0
5,78.189,0,0
5,78.445,0,0
5,78.701,0,0
5,78.957,0,0
5,79.213,0,0
5,79.469,0,0
5,79.725,1,1
5,79.981,1,1
5,80.237,1,1
5,80.494,1,1
5,80.75,1,1
5,81.006,1,1
5,81.262,1,1
5,81.518,1,1
5,81.774,1,1
5,82.03,1,1
5,82.286,1,1
