Leg,Timestamp,Phase,Contact
13,36.735,1,1
13,36.991,1,1
13,37.247,1,1
13,37.504,0,0
13,37.76,0,0
13,38.016,0,0
13,38.272,0,0
13,38.528,0,0
13,39.04,1,1
13,39.296,1,1
13,39.552,1,1
13,39.808,1,1
13,40.064,1,1
13,40.32,1,1
13,40.576,1,1
13,40.832,1,1
13,41.088,1,1
13,41.344,1,1
13,41.6,1,1
13,41.856,1,1
13,42.112,1,1
13,42.368,1,1
13,42.624,1,1
13,42.88,1,1
13,43.136,1,1
13,43.393,0,0
13,43.649,0,0
13,43.905,0,0
13,44.161,0,0
13,44.417,0,0
13,44.673,0,0
13,44.929,0,0
13,45.185,0,0
13,45.441,0,0
13,45.697,0,0
13,45.953,1,1
13,46.209,1,1
13,46.465,1,1
13,46.721,1,1
13,46.978,1,1
13,47.234,1,1
13,47.49,1,1
13,47.746,1,1
13,48.002,1,1
13,48.258,1,1
13,48.514,1,1
13,48.77,1,1
13,49.026,1,1
13,49.283,1,1
13,49.539,1,1
13,49.795,0,0
13,50.051,0,0
13,50.307,0,0
13,50.563,0,0
13,50.819,0,0
13,51.075,0,0
13,51.331,0,0
13,51.587,0,0
13,51.843,0,0
13,52.099,0,0
13,52.355,0,0
13,52.611,0,0
13,52.867,1,1
13,53.123,1,1
13,53.379,1,1
13,53.636,1,1
13,53.892,1,1
13,54.148,1,1
13,54.404,1,1
13,54.66,1,1
13,54.916,1,1
13,55.172,1,1
13,55.428,1,1
13,55.684,1,1
13,55.94,1,1
13,56.196,1,1
13,56.452,1,1
13,56.708,0,0
13,56.964,0,0
13,57.22,0,0
13,57.476,0,0
13,57.732,0,0
13,57.988,0,0
13,58.244,0,0
13,58.5,0,0
13,58.756,0,0
13,59.012,0,0
13,59.268,1,1
13,59.524,1,1
13,59.78,1,1
13,60.036,1,1
13,60.292,1,1
13,60.548,1,1
13,60.804,1,1
13,61.06,1,1
13,61.316,1,1
13,61.572,1,1
13,61.828,1,1
13,62.084,1,1
13,62.34,1,1
13,62.596,1,1
13,62.852,1,1
13,63.108,1,1
13,63.366,1,1
13,63.622,1,1
13,63.878,0,0
13,64.134,0,0
13,64.39,0,0
13,64.646,0,0
13,64.902,0,0
13,65.158,0,0
13,65.414,0,0
13,65.67,0,0
13,65.926,0,0
13,66.182,0,0
13,66.438,1,1
13,66.694,1,1
13,66.95,1,1
13,67.206,1,1
13,67.462,1,1
13,67.718,1,1
13,67.974,1,1
13,68.23,1,1
13,68.486,1,1
13,68.742,1,1
13,68.998,1,1
13,69.254,1,1
13,69.51,1,1
13,69.766,1,1
13,70.022,1,1
13,70.278,0,0
13,70.534,0,0
13,70.79,0,0
13,71.046,0,0
13,71.302,0,0
13,71.558,0,0
13,71.815,0,0
13,72.071,0,0
13,72.327,0,0
13,72.583,1,1
13,72.839,1,1
13,73.095,1,1
13,73.351,1,1
13,73.607,1,1
13,73.863,1,1
13,74.119,1,1
13,74.375,1,1
13,74.631,1,1
13,74.889,1,1
13,75.145,1,1
13,75.401,1,1
13,75.657,1,1
13,75.913,1,1
13,76.17,1,1
13,76.426,1,1
13,76.682,1,1
13,76.938,1,1
13,77.194,1,1
13,77.706,0,0
13,77.962,0,0
13,78.218,0,0
13,78.474,0,0
13,78.73,0,0
13,78.986,0,1
13,79.242,0,1
13,79.498,0,1
13,79.754,0,1
13,80.01,0,1
13,80.266,0,1
13,80.522,0,1
13,80.778,0,1
13,81.034,0,1
13,81.29,0,1
13,81.546,0,1
13,81.802,0,1
13,82.058,0,1
13,82.314,0,1
13,82.57,0,1
13,83.082,0,0
13,83.338,0,0
13,83.594,0,0
13,83.85,0,0
13,84.106,0,0
13,84.363,0,0
13,84.619,1,1
13,84.875,1,1
13,85.131,1,1
13,85.387,1,1
13,85.643,1,1
13,85.899,1,1
13,86.155,1,1
13,86.411,1,1
13,86.667,1,1
13,86.923,1,1
13,87.179,1,1
13,87.435,1,1
13,87.691,1,1
13,87.947,1,1
13,88.204,1,1
13,88.46,0,0
13,88.716,0,0
13,88.972,0,0
13,89.228,0,0
13,89.484,0,0
13,89.74,0,1
13,89.996,0,1
13,90.252,0,1
13,90.509,0,1
13,90.765,0,1
13,91.021,0,1
13,91.277,0,1
13,91.533,0,1
