Leg,Timestamp,Phase,Contact
5,37.554,1,1
5,37.81,1,1
5,38.066,1,1
5,38.322,1,1
5,38.578,1,1
5,38.834,1,1
5,39.09,1,1
5,39.346,1,1
5,39.602,1,1
5,39.858,1,1
5,40.114,1,1
5,40.37,1,1
5,40.626,1,1
5,40.882,1,1
5,41.138,1,1
5,41.394,1,1
5,41.65,1,1
5,41.906,1,1
5,42.162,0,0
5,42.418,0,0
5,42.674,0,0
5,42.93,0,0
5,43.186,0,0
5,43.442,0,0
5,43.699,0,0
5,43.955,0,0
5,44.211,0,0
5,44.467,0,0
5,44.723,0,0
5,44.979,0,0
5,45.491,1,1
5,45.747,1,1
5,46.004,1,1
5,46.26,1,1
5,46.516,1,1
5,46.772,1,1
5,47.028,1,1
5,47.284,1,1
5,47.54,1,1
5,47.796,1,1
5,48.052,1,1
5,48.308,1,1
5,48.564,0,0
5,48.82,0,0
5,49.076,0,0
5,49.332,0,0
5,49.588,0,0
5,49.844,0,0
5,50.1,0,0
5,50.356,0,0
5,50.612,0,0
5,50.868,0,0
5,51.124,1,1
5,51.38,1,1
5,51.636,1,1
5,51.892,1,1
5,52.148,1,1
5,52.404,1,1
5,52.66,1,1
5,52.916,1,1
5,53.172,1,1
5,53.428,1,1
5,53.684,1,1
5,53.94,1,1
5,54.196,1,1
5,54.452,1,1
5,54.709,1,1
5,54.965,1,1
5,55.221,1,1
5,55.477,1,1
5,55.733,1,1
5,55.989,1,1
5,56.246,1,1
5,56.502,0,0
5,56.758,0,0
5,57.014,0,0
5,57.27,0,0
5,57.526,0,0
5,57.782,0,0
5,58.038,0,0
5,58.294,0,0
5,58.55,1,1
5,58.806,1,1
5,59.062,1,1
5,59.318,1,1
5,59.574,1,1
5,59.83,1,1
5,60.086,1,1
5,60.342,1,1
5,60.598,1,1
5,60.854,1,1
5,61.11,1,1
5,61.366,1,1
5,61.622,1,1
5,61.878,1,1
5,62.134,1,1
5,62.39,1,1
5,62.646,0,0
5,62.902,0,0
5,63.158,0,0
5,63.414,0,0
5,63.67,0,0
5,63.926,0,0
5,64.182,0,0
5,64.439,0,0
5,64.695,0,0
5,64.951,1,1
5,65.207,1,1
5,65.463,1,1
5,65.719,1,1
5,65.975,1,1
5,66.231,1,1
5,66.487,1,1
5,66.743,1,1
5,66.999,1,1
5,67.256,1,1
5,67.512,1,1
5,67.768,1,1
5,68.024,1,1
5,68.28,1,1
5,68.536,1,1
5,68.792,1,1
5,69.048,1,1
5,69.304,0,0
5,69.56,0,0
5,69.816,0,0
5,70.072,0,0
5,70.328,0,0
5,70.584,0,0
5,70.84,0,0
5,71.096,0,0
5,71.352,0,0
5,71.608,0,0
5,71.864,0,0
5,72.12,0,0
5,72.376,0,0
5,72.632,0,0
5,72.888,1,1
5,73.144,1,1
5,73.4,1,1
5,73.656,1,1
5,73.912,1,1
5,74.168,1,1
5,74.424,1,1
5,74.68,1,1
5,74.936,1,1
5,75.192,1,1
5,75.448,1,1
5,75.705,1,1
5,75.962,1,1
5,76.218,1,1
5,76.474,0,0
5,76.73,0,0
5,76.986,0,0
5,77.242,0,0
5,77.498,0,0
5,77.754,0,0
5,78.01,0,0
5,78.266,0,0
5,78.522,0,0
5,78.778,0,0
5,79.034,0,0
5,79.29,0,0
5,79.546,1,1
5,79.803,1,1
5,80.059,1,1
5,80.315,1,1
5,80.571,1,1
5,80.827,1,1
5,81.083,1,1
5,81.339,1,1
5,81.595,1,1
5,81.851,1,1
5,82.107,1,1
5,82.363,1,1
5,82.619,1,1
5,82.875,1,1
5,83.131,1,1
5,83.387,1,1
5,83.643,1,1
5,83.899,0,0
5,84.155,0,0
5,84.411,0,0
5,84.667,0,0
5,84.923,0,0
5,85.179,0,0
5,85.435,0,0
5,85.691,0,0
5,85.947,0,0
5,86.203,0,0
5,86.459,0,0
5,86.715,0,0
5,86.971,0,0
5,87.227,0,0
5,87.483,0,0
5,87.739,1,1
5,87.995,1,1
5,88.251,1,1
5,88.507,1,1
5,88.763,1,1
5,89.019,1,1
5,89.275,1,1
5,89.531,1,1
5,89.787,1,1
5,90.043,1,1
5,90.299,1,1
5,90.555,1,1
5,90.811,1,1
5,91.067,1,1
5,91.323,1,1
5,91.579,1,1
5,91.835,1,1
5,92.091,0,0
5,92.347,0,0
5,92.603,0,0
5,92.859,0,0
5,93.115,0,0
5,93.371,0,0
5,93.627,0,0
5,93.883,0,0
5,94.139,0,0
5,94.395,0,0
5,94.651,0,0
5,94.907,1,1
5,95.163,1,1
5,95.419,1,1
5,95.675,1,1
5,95.931,1,1
5,96.187,1,1
5,96.443,1,1
5,96.699,1,1
5,96.955,1,1
5,97.211,1,1
5,97.467,1,1
5,97.723,1,1
5,97.979,1,1
5,98.235,1,1
5,98.491,1,1
5,98.747,1,1
5,99.003,1,1
5,99.259,1,1
5,99.515,1,1
5,99.771,1,1
5,100.027,1,1
5,100.283,1,1
5,100.54,1,1
5,100.796,1,1
5,101.052,1,1
5,101.308,1,1
5,101.564,1,1
5,101.82,1,1
5,102.076,1,1
5,102.332,1,1
5,102.588,1,1
5,102.844,0,0
5,103.1,0,0
5,103.356,0,1
5,103.612,0,1
5,103.868,0,1
5,104.38,0,0
5,104.636,1,1
5,104.892,1,1
5,105.148,1,1
5,105.404,1,1
5,105.66,1,1
5,105.916,1,1
5,106.172,1,1
5,106.428,1,1
5,106.684,1,1
5,106.94,1,1
5,107.196,1,1
5,107.452,1,1
5,107.708,1,1
5,107.964,1,1
5,108.22,1,1
5,108.476,1,1
5,108.732,1,1
5,108.988,1,1
5,109.244,1,1
5,109.5,1,1
5,110.012,0,0
5,110.268,0,0
5,110.524,0,0
5,110.78,0,0
5,111.036,0,0
5,111.292,0,0
5,111.548,0,0
5,111.804,0,0
5,112.06,1,1
5,112.317,1,1
5,112.573,1,1
5,112.829,1,1
5,113.085,1,1
5,113.341,1,1
5,113.597,1,1
5,113.853,1,1
5,114.109,1,1
5,114.365,1,1
5,114.621,1,1
5,114.877,1,1
5,115.133,1,1
5,115.389,1,1
5,115.645,1,1
5,115.901,1,1
5,116.157,1,1
5,116.413,1,1
5,116.669,1,1
5,116.925,1,1
5,117.181,1,1
5,117.439,0,0
5,117.695,0,0
5,117.951,0,0
5,118.207,0,0
