Leg,Timestamp,Phase,Contact
18,38.482,1,0
18,38.738,1,0
18,38.994,1,1
18,39.25,1,1
18,39.506,1,1
18,39.762,1,1
18,40.018,1,1
18,40.274,1,1
18,40.53,1,1
18,40.786,1,1
18,41.043,1,1
18,41.299,1,1
18,41.555,1,1
18,41.811,1,1
18,42.067,1,1
18,42.323,1,1
18,42.579,1,1
18,42.835,1,1
18,43.091,1,1
18,43.347,1,1
18,43.603,1,1
18,43.859,1,1
18,44.115,1,1
18,44.371,1,0
18,44.627,1,0
18,44.883,1,0
18,45.14,1,1
18,45.396,1,1
18,45.652,1,1
18,45.908,1,1
18,46.164,1,1
18,46.42,1,1
18,46.676,0,0
18,46.932,0,0
18,47.188,0,0
18,47.444,0,0
18,47.7,0,0
18,47.956,0,0
18,48.212,0,0
18,48.468,0,0
18,48.724,1,1
18,48.98,1,1
18,49.493,1,0
18,49.749,1,0
18,50.005,1,0
18,50.261,1,0
18,50.517,1,1
18,50.773,1,1
18,51.029,1,1
18,51.285,1,1
18,51.541,1,1
18,51.797,1,1
18,52.053,1,1
18,52.309,1,1
18,52.565,1,1
18,52.821,1,1
18,53.077,1,1
18,53.334,1,1
18,53.59,1,1
18,53.846,0,0
18,54.102,0,0
18,54.358,0,0
18,54.614,0,0
18,54.872,0,0
18,55.129,0,0
18,55.385,0,0
18,55.641,0,0
18,55.897,0,0
18,56.153,0,0
18,56.409,0,0
18,56.665,0,0
18,56.921,0,0
18,57.177,1,1
18,57.433,1,1
18,57.689,1,1
18,57.945,1,1
18,58.201,1,1
18,58.457,1,1
18,58.713,1,1
18,58.969,1,1
18,59.226,1,1
18,59.484,1,1
18,59.74,1,1
18,59.996,1,1
18,60.252,1,1
18,60.508,1,1
18,60.764,1,1
18,61.02,1,1
18,61.276,1,1
18,61.533,0,0
18,61.789,0,0
18,62.045,0,0
18,62.301,0,0
18,62.813,0,0
18,63.069,0,0
18,63.325,0,0
18,63.582,0,0
18,63.838,0,0
18,64.094,0,0
18,64.35,1,1
18,64.606,1,1
18,64.863,1,1
18,65.119,1,1
18,65.375,1,1
18,65.631,1,1
18,65.887,1,1
18,66.143,1,1
18,66.399,1,1
18,66.655,1,1
18,66.911,1,1
18,67.167,1,1
18,67.424,1,1
18,67.68,1,1
18,67.936,1,1
18,68.192,0,0
18,68.448,0,0
18,68.704,0,0
18,68.96,0,0
18,69.216,0,0
18,69.472,0,0
18,69.728,0,0
18,69.984,0,0
18,70.24,0,0
18,70.496,1,1
18,70.752,1,1
18,71.008,1,1
18,71.264,1,1
18,71.52,1,1
18,71.776,1,1
18,72.032,1,1
18,72.288,1,1
18,72.544,1,1
18,72.8,1,1
18,73.056,1,1
18,73.312,1,1
18,73.568,1,1
18,73.824,1,1
18,74.08,1,1
18,74.336,1,1
18,74.593,1,1
18,74.85,1,1
18,75.106,1,1
18,75.362,1,1
18,75.618,1,1
18,75.874,1,1
