Leg,Timestamp,Phase,Contact
18,2588.91,1,1
18,2589.166,1,1
18,2589.422,1,1
18,2589.678,1,1
18,2589.934,1,1
18,2590.19,1,0
18,2590.446,1,0
18,2590.703,1,0
18,2590.959,1,1
18,2591.215,1,1
18,2591.471,1,1
18,2591.727,1,1
18,2591.983,1,1
18,2592.239,1,1
18,2592.751,0,0
18,2593.007,0,0
18,2593.263,0,0
18,2593.521,0,0
18,2593.777,0,0
18,2594.033,0,0
18,2594.289,0,0
18,2594.545,0,0
18,2594.801,1,1
18,2595.057,1,1
18,2595.313,1,1
18,2595.569,1,1
18,2595.825,1,1
18,2596.081,1,0
18,2596.337,1,0
18,2596.593,1,0
18,2596.849,1,0
18,2597.105,1,0
18,2597.361,1,0
18,2597.618,1,0
18,2597.874,1,0
18,2598.13,1,0
18,2598.386,1,0
18,2598.642,1,0
18,2598.898,0,0
18,2599.154,1,1
18,2599.41,0,0
18,2599.666,0,0
18,2599.922,0,0
18,2600.178,0,0
18,2600.434,0,0
18,2600.69,0,0
18,2600.946,0,0
18,2601.202,0,0
18,2601.458,0,0
18,2601.714,0,0
18,2601.97,0,0
18,2602.226,0,0
18,2602.482,0,0
18,2602.738,0,0
18,2602.994,0,0
18,2603.25,0,0
18,2603.506,0,0
18,2603.762,0,0
18,2604.018,0,0
18,2604.274,0,0
18,2604.53,1,1
18,2604.786,1,1
18,2605.042,1,1
18,2605.298,1,1
18,2605.554,1,1
18,2605.81,1,1
18,2606.066,1,1
18,2606.322,1,1
18,2606.578,1,1
18,2606.834,1,1
18,2607.09,1,1
18,2607.346,1,1
18,2607.602,0,0
18,2607.858,0,0
18,2608.114,0,0
18,2608.37,0,0
18,2608.626,0,0
18,2608.882,0,0
18,2609.139,0,0
18,2609.395,0,0
18,2609.651,0,0
18,2609.907,0,0
18,2610.163,0,0
18,2610.419,1,1
18,2610.675,1,1
18,2610.931,1,1
18,2611.187,1,1
18,2611.443,1,1
18,2611.699,1,1
18,2611.955,1,1
18,2612.211,1,1
18,2612.467,1,1
18,2612.723,1,1
18,2612.979,1,1
18,2613.236,1,1
18,2613.492,1,0
18,2613.748,0,0
18,2614.004,0,0
18,2614.26,0,0
18,2614.516,0,0
18,2614.772,0,0
18,2615.028,0,0
18,2615.284,0,0
18,2615.54,0,0
18,2615.796,0,0
18,2616.052,0,0
18,2616.308,1,0
18,2616.565,1,0
18,2616.821,1,0
18,2617.077,1,0
18,2617.333,1,0
18,2617.589,1,0
18,2617.845,1,0
18,2618.101,1,0
18,2618.357,1,1
18,2618.613,1,1
18,2618.87,1,1
18,2619.127,1,1
18,2619.383,1,1
18,2619.639,0,0
18,2619.895,0,0
18,2620.151,0,0
18,2620.407,0,0
18,2620.663,0,0
18,2620.919,0,0
18,2621.175,0,0
18,2621.431,0,0
18,2621.687,0,0
18,2621.943,0,0
18,2622.199,0,0
18,2622.455,0,0
18,2622.711,0,0
18,2622.967,0,0
18,2623.223,1,1
18,2623.479,1,1
18,2623.735,1,1
18,2623.991,1,1
18,2624.247,1,0
18,2624.503,1,0
18,2624.759,1,0
18,2625.015,1,0
18,2625.271,1,0
18,2625.527,1,0
18,2625.783,0,0
18,2626.039,0,1
18,2626.295,0,0
18,2626.551,0,0
18,2626.807,0,0
18,2627.063,0,0
18,2627.32,0,0
18,2627.576,0,0
18,2627.832,0,0
18,2628.088,0,0
18,2628.344,1,1
18,2628.6,1,0
18,2628.8559999999998,1,1
18,2629.112,1,1
18,2629.368,1,1
18,2629.624,1,1
18,2629.88,1,1
18,2630.136,1,1
18,2630.392,1,1
18,2630.648,1,1
18,2630.904,1,1
18,2631.16,1,1
18,2631.418,0,0
18,2631.674,0,0
18,2631.93,0,0
18,2632.186,0,0
18,2632.442,0,0
18,2632.698,0,0
18,2632.954,0,0
18,2633.21,0,0
18,2633.466,1,1
18,2633.722,1,1
18,2633.979,1,1
18,2634.235,1,1
18,2634.491,1,1
18,2634.747,1,0
18,2635.003,1,1
18,2635.259,1,0
18,2635.515,1,0
18,2635.771,1,0
18,2636.027,0,0
18,2636.54,0,0
18,2636.796,0,0
18,2637.052,0,0
18,2637.308,0,0
18,2637.564,0,0
18,2637.82,1,1
18,2638.332,1,1
18,2638.588,1,1
18,2638.844,1,1
18,2639.1,1,1
18,2639.3559999999998,1,1
18,2639.612,1,1
18,2639.868,1,1
