Leg,Timestamp,Phase,Contact
2,623.066,1,0
2,623.323,0,0
2,623.579,0,0
2,623.835,0,0
2,624.091,0,0
2,624.347,0,0
2,624.603,0,0
2,624.859,0,0
2,625.115,0,0
2,625.371,0,0
2,625.627,1,1
2,625.883,1,1
2,626.139,1,1
2,626.395,1,1
2,626.651,1,1
2,626.907,1,1
2,627.163,1,1
2,627.42,1,1
2,627.676,1,1
2,627.932,1,1
2,628.188,1,1
2,628.444,1,1
2,628.7,1,1
2,628.956,1,1
2,629.212,1,1
2,629.468,0,0
2,629.7239999999999,0,0
2,629.98,0,0
2,630.236,0,0
2,630.492,0,0
2,630.748,0,0
2,631.004,0,0
2,631.26,0,0
2,631.516,0,0
2,631.7719999999999,0,0
2,632.028,0,0
2,632.284,1,1
2,632.54,1,1
2,632.796,1,1
2,633.052,1,1
2,633.308,1,1
2,633.564,1,1
2,633.8199999999999,1,1
2,634.076,1,1
2,634.332,1,1
2,634.5889999999999,1,1
2,634.847,1,1
2,635.1030000000001,1,1
2,635.359,1,1
2,635.615,0,0
2,635.871,0,0
2,636.127,0,0
2,636.384,0,0
2,636.64,0,0
2,636.896,0,0
2,637.152,0,0
2,637.408,0,0
2,637.664,0,0
2,637.92,0,0
2,638.1759999999999,0,0
2,638.432,0,0
2,638.689,0,0
2,638.9449999999999,1,1
2,639.203,1,1
2,639.4590000000001,1,1
2,639.971,1,1
2,640.227,1,1
2,640.483,1,1
2,640.739,1,1
2,640.995,1,1
2,641.251,1,1
2,641.5070000000001,1,1
2,641.763,1,1
2,642.019,1,1
2,642.275,1,1
2,642.531,1,1
2,642.787,0,0
2,643.043,0,0
2,643.299,0,0
2,643.5550000000001,0,0
2,643.811,0,0
2,644.067,0,0
2,644.323,0,0
2,644.579,0,0
2,644.837,0,0
2,645.093,0,0
2,645.3489999999999,0,0
2,645.605,0,0
2,645.861,0,0
2,646.117,1,1
2,646.373,1,1
2,646.629,1,1
2,646.885,1,1
2,647.141,1,1
2,647.398,1,1
2,647.654,1,1
2,647.9110000000001,1,1
2,648.167,1,1
2,648.423,1,1
2,648.679,1,1
2,648.937,1,1
2,649.194,1,1
2,649.45,1,1
2,649.706,1,1
2,649.962,1,1
2,650.218,0,0
2,650.4739999999999,0,0
2,650.73,0,0
2,650.986,0,0
2,651.242,0,0
2,651.5,0,0
2,651.756,0,0
2,652.012,0,0
2,652.268,0,0
2,652.524,0,0
2,652.78,0,0
2,653.0360000000001,0,0
2,653.292,1,1
2,653.548,1,1
2,653.8050000000001,1,1
2,654.061,1,1
2,654.317,1,1
2,654.573,1,1
2,654.829,1,1
2,655.086,1,1
2,655.343,1,1
2,655.5989999999999,1,1
2,655.855,1,1
2,656.111,1,1
2,656.367,1,1
2,656.623,1,1
2,656.879,0,0
2,657.135,0,0
2,657.391,0,0
2,657.6469999999999,0,0
2,657.903,0,0
2,658.159,0,0
2,658.415,0,0
2,658.671,0,0
2,658.928,0,0
2,659.184,0,0
2,659.44,0,0
2,659.696,0,0
2,659.952,1,1
2,660.208,1,1
2,660.465,1,1
2,660.721,1,1
2,660.977,1,1
2,661.233,1,1
2,661.489,1,1
2,661.745,1,1
2,662.001,1,1
2,662.2570000000001,1,1
2,662.513,1,1
2,662.769,1,1
2,663.025,1,1
2,663.281,1,1
2,663.537,1,1
2,663.794,1,0
2,664.05,1,1
2,664.306,1,1
2,664.562,0,0
2,664.819,0,0
2,665.075,0,0
2,665.331,0,0
2,665.587,0,0
2,665.843,0,0
2,666.0989999999999,0,0
2,666.355,0,0
2,666.611,0,0
2,666.867,0,0
2,667.123,0,0
2,667.379,1,1
2,667.635,1,1
2,667.891,1,1
2,668.1469999999999,1,1
2,668.403,1,1
2,668.659,1,1
2,668.915,1,1
2,669.171,1,1
2,669.427,1,1
2,669.683,1,1
2,669.939,1,1
2,670.1949999999999,1,1
2,670.451,1,1
2,670.707,1,1
2,670.963,0,0
2,671.219,0,0
2,671.475,0,0
2,671.731,0,0
2,671.987,0,0
2,672.2429999999999,0,0
2,672.499,0,0
2,672.756,0,0
2,673.012,0,0
2,673.268,0,0
2,673.524,1,1
2,673.78,1,1
2,674.0360000000001,1,1
2,674.292,1,1
2,674.548,1,1
2,674.804,1,1
2,675.06,1,1
2,675.316,1,1
2,675.573,1,1
2,675.829,1,1
2,676.085,1,1
2,676.341,1,1
2,676.597,1,1
2,676.8530000000001,1,1
2,677.109,1,1
2,677.365,1,1
2,677.6220000000001,1,1
2,677.8779999999999,1,1
2,678.134,0,0
2,678.39,0,0
2,678.646,0,0
2,678.902,0,0
2,679.158,0,0
2,679.414,0,0
2,679.67,0,0
2,679.9259999999999,0,0
2,680.182,0,0
2,680.438,1,1
2,680.694,1,1
2,680.95,1,1
2,681.206,1,1
2,681.462,1,1
2,681.718,1,1
2,681.9739999999999,1,1
2,682.233,1,1
2,682.49,1,1
2,682.746,1,1
2,683.002,1,1
2,683.258,1,1
2,683.514,1,1
2,683.77,1,1
2,684.0260000000001,1,1
2,684.283,1,1
2,684.795,1,1
2,685.0509999999999,1,1
2,685.307,1,1
2,685.563,1,1
2,685.819,1,1
2,686.075,1,1
2,686.332,1,1
2,686.588,1,1
2,686.844,1,1
2,687.1,1,1
2,687.356,0,0
2,687.614,0,0
2,687.87,0,0
2,688.126,0,0
2,688.383,0,0
2,688.639,1,1
2,688.895,1,1
2,689.1510000000001,1,1
2,689.407,1,1
2,689.664,1,1
2,689.921,1,1
2,690.177,1,1
2,690.434,1,1
2,690.69,0,0
2,690.946,0,0
2,691.202,0,0
2,691.458,0,0
2,691.7139999999999,0,0
2,691.972,0,0
2,692.2280000000001,1,1
2,692.484,1,1
2,692.996,1,1
2,693.252,1,1
2,693.508,1,1
2,693.764,1,1
2,694.02,1,1
2,694.2760000000001,1,1
2,694.532,1,1
2,694.788,1,1
2,695.045,1,1
2,695.302,1,1
2,695.558,0,0
2,695.814,0,0
2,696.0699999999999,0,0
2,696.326,0,0
2,696.583,0,0
2,696.8389999999999,0,0
2,697.095,0,0
2,697.351,0,0
2,697.607,0,0
2,697.863,1,1
2,698.119,1,1
2,698.375,1,1
2,698.6320000000001,1,1
2,698.889,1,1
2,699.146,1,1
2,699.402,1,1
2,699.658,1,1
2,699.914,1,1
2,700.17,1,1
2,700.4259999999999,1,1
2,700.682,1,1
2,700.938,0,0
2,701.194,0,0
2,701.45,0,0
2,701.706,0,0
2,701.963,0,0
2,702.219,0,0
2,702.475,0,0
2,702.731,1,1
2,702.987,1,1
2,703.2429999999999,1,1
2,703.499,1,1
2,703.755,1,1
2,704.012,1,1
2,704.268,1,1
2,704.524,1,1
2,704.78,1,1
2,705.0360000000001,1,1
2,705.292,0,0
2,705.548,0,0
