Leg,Timestamp,Phase,Contact
5,39.138,1,1
5,39.394,1,1
5,39.65,1,1
5,39.906,1,1
5,40.162,1,1
5,40.418,1,1
5,40.674,1,1
5,40.93,1,1
5,41.186,1,1
5,41.442,0,0
5,41.698,0,0
5,41.954,0,0
5,42.21,0,0
5,42.467,0,0
5,42.723,0,0
5,42.979,0,0
5,43.235,0,0
5,43.491,0,0
5,43.747,0,0
5,44.003,0,0
5,44.259,0,0
5,44.515,0,0
5,44.771,0,0
5,45.027,0,0
5,45.283,0,0
5,45.54,0,0
5,45.796,0,0
5,46.052,0,0
5,46.308,0,0
5,46.564,0,0
5,46.82,0,0
5,47.076,0,0
5,47.332,0,0
5,47.588,0,0
5,47.844,0,0
5,48.1,0,0
5,48.356,0,0
5,48.612,0,0
5,48.868,0,0
5,49.124,0,0
5,49.38,0,0
5,49.636,0,0
5,49.892,0,0
5,50.148,0,0
5,50.404,0,0
5,50.66,0,0
5,50.916,0,0
5,51.172,0,0
5,51.428,0,0
5,51.684,0,0
5,51.94,1,1
5,52.196,1,1
5,52.452,1,1
5,52.708,1,1
5,52.965,1,1
5,53.221,1,1
5,53.477,1,1
5,53.733,1,1
5,53.989,0,0
5,54.245,0,0
5,54.501,0,0
5,54.757,0,0
5,55.013,0,0
5,55.269,0,0
5,55.525,0,0
5,55.781,0,0
5,56.037,1,1
5,56.293,1,1
5,56.549,1,1
5,56.805,1,1
5,57.061,1,1
5,57.317,1,1
5,57.573,1,1
5,57.83,1,1
5,58.086,1,1
5,58.342,1,1
5,58.598,1,1
5,58.854,0,0
5,59.11,0,0
5,59.366,0,0
5,59.622,0,0
5,59.878,0,0
5,60.134,0,0
5,60.39,0,0
5,60.646,1,1
5,60.902,1,1
5,61.158,1,1
5,61.414,1,1
5,61.67,1,1
5,61.926,1,1
5,62.182,1,1
5,62.438,1,1
5,62.694,1,1
5,62.95,1,1
5,63.206,1,1
5,63.462,1,1
5,63.718,1,1
5,63.974,1,1
5,64.23,1,1
5,64.488,1,1
5,64.744,0,0
5,65.0,0,0
5,65.256,0,0
5,65.512,0,0
5,65.768,0,0
5,66.024,0,0
5,66.28,1,1
5,66.536,1,1
5,66.792,1,1
5,67.048,1,1
5,67.305,1,1
5,67.561,1,1
5,67.817,1,1
5,68.073,1,1
5,68.329,1,1
5,68.585,1,1
5,68.841,1,1
5,69.097,1,1
5,69.353,1,1
5,69.609,1,1
5,70.121,1,1
5,70.377,0,0
5,70.633,0,0
5,70.89,0,0
5,71.146,0,0
5,71.402,0,0
5,71.658,0,0
5,71.914,0,0
5,72.17,0,0
5,72.426,1,1
5,72.682,1,1
5,72.938,1,1
5,73.195,1,1
5,73.452,1,1
5,73.708,1,1
5,73.964,1,1
5,74.22,1,1
5,74.476,1,1
5,74.732,1,1
5,74.988,1,1
5,75.244,1,1
5,75.5,1,1
5,75.757,1,1
5,76.013,1,1
5,76.269,1,1
5,76.525,1,1
5,76.781,1,1
5,77.037,0,0
5,77.293,0,0
5,77.549,0,0
5,77.805,0,0
5,78.061,0,0
5,78.317,0,0
5,78.573,0,0
5,78.83,0,0
5,79.086,0,0
5,79.342,1,1
5,79.598,1,1
5,80.11,1,1
5,80.366,1,1
5,80.622,1,1
5,80.878,1,1
5,81.134,1,1
5,81.39,1,1
5,81.646,1,1
5,81.902,1,1
5,82.158,1,1
5,82.414,1,1
5,82.67,1,1
5,82.926,1,1
5,83.183,1,1
5,83.44,1,1
5,83.696,1,1
5,83.952,1,1
5,84.208,0,0
5,84.464,0,0
5,84.72,0,0
5,84.976,0,0
5,85.232,0,0
5,85.488,0,0
5,85.744,0,0
5,86.0,0,0
5,86.256,0,0
5,86.513,1,1
5,86.769,1,1
5,87.025,1,1
5,87.281,1,1
5,87.537,1,1
5,87.793,1,1
5,88.049,1,1
5,88.305,1,1
5,88.562,1,1
5,88.819,1,1
5,89.075,1,1
5,89.331,1,1
5,89.587,1,1
5,89.843,0,0
5,90.099,0,0
5,90.355,0,0
5,90.611,0,0
5,90.867,0,0
5,91.123,0,0
5,91.379,0,0
5,91.635,0,0
5,91.891,0,0
5,92.147,0,0
5,92.403,0,0
5,92.659,0,0
5,92.915,0,0
5,93.171,0,0
5,93.683,0,0
5,93.939,1,1
5,94.451,1,1
5,94.708,1,1
5,94.964,1,1
5,95.22,1,1
5,95.476,1,1
5,95.732,1,1
5,95.989,1,1
5,96.245,1,1
5,96.501,1,1
5,96.757,0,0
5,97.013,0,0
5,97.269,0,0
5,97.781,0,0
5,98.037,0,0
5,98.293,0,0
5,98.549,0,0
5,98.805,0,0
5,99.061,0,0
5,99.317,0,0
5,99.573,0,0
5,99.829,1,1
5,100.085,1,1
5,100.341,1,1
5,100.597,1,1
5,100.853,1,1
5,101.109,1,1
5,101.365,1,1
5,101.621,1,1
5,101.877,1,1
5,102.133,1,1
5,102.389,1,1
5,102.645,1,1
5,102.901,1,1
5,103.157,1,1
5,103.413,0,0
5,103.669,0,0
5,103.925,0,0
5,104.181,0,0
5,104.437,0,0
5,104.693,0,0
5,104.949,0,0
5,105.205,0,0
5,105.461,0,0
5,105.717,0,0
