Leg,Timestamp,Phase,Contact
5,1546.264,1,1
5,1546.52,1,1
5,1546.776,1,1
5,1547.032,1,1
5,1547.288,1,1
5,1547.544,1,1
5,1547.8,1,1
5,1548.056,1,1
5,1548.312,1,1
5,1548.568,1,1
5,1548.824,1,1
5,1549.08,1,1
5,1549.336,1,1
5,1549.593,1,1
5,1549.849,0,0
5,1550.105,0,0
5,1550.361,0,0
5,1550.617,0,1
5,1550.873,0,1
5,1551.129,0,0
5,1551.385,0,0
5,1551.641,0,0
5,1551.897,1,1
5,1552.153,1,1
5,1552.409,1,1
5,1552.665,1,1
5,1552.921,1,1
5,1553.177,1,1
5,1553.433,1,1
5,1553.689,1,1
5,1553.946,1,1
5,1554.202,1,1
5,1554.458,1,1
5,1554.714,1,1
5,1554.97,1,1
5,1555.226,1,1
5,1555.482,1,1
5,1555.738,0,0
5,1555.994,0,0
5,1556.25,0,0
5,1556.506,0,1
5,1556.762,0,1
5,1557.018,0,0
5,1557.274,1,1
5,1557.53,1,1
5,1557.786,1,1
5,1558.042,1,1
5,1558.298,1,1
5,1558.554,1,1
5,1558.81,1,1
5,1559.066,1,1
5,1559.3220000000001,1,1
5,1559.578,1,1
5,1559.834,1,1
5,1560.09,1,1
5,1560.346,1,1
5,1560.602,1,1
5,1560.858,1,1
5,1561.114,1,1
5,1561.37,1,1
5,1561.626,1,1
5,1561.882,1,1
5,1562.138,1,1
5,1562.394,1,1
5,1562.651,1,1
5,1562.907,1,1
5,1563.163,1,1
5,1563.419,1,1
5,1563.675,1,1
5,1563.931,1,1
5,1564.187,1,1
5,1564.443,1,1
5,1564.699,1,1
5,1564.955,1,1
5,1565.211,1,1
5,1565.467,1,1
5,1565.723,1,1
5,1565.979,1,1
5,1566.235,1,1
5,1566.491,1,1
5,1566.747,1,1
5,1567.003,1,1
5,1567.259,1,1
5,1567.515,1,1
5,1567.771,1,1
5,1568.027,1,1
5,1568.283,1,1
5,1568.539,1,1
5,1568.795,1,1
5,1569.051,1,1
5,1569.307,1,1
5,1569.564,1,1
5,1569.82,1,1
5,1570.076,1,1
5,1570.3319999999999,1,1
5,1570.588,1,1
5,1570.844,1,1
5,1571.1,1,1
5,1571.356,1,1
5,1571.612,1,1
5,1571.868,1,1
5,1572.124,1,1
5,1572.38,0,0
5,1572.636,0,0
5,1572.892,0,0
5,1573.148,0,0
5,1573.404,0,0
5,1573.66,0,0
5,1573.916,0,0
5,1574.172,1,1
5,1574.429,1,1
5,1574.685,1,1
5,1574.941,1,1
5,1575.1970000000001,1,1
5,1575.453,1,1
5,1575.709,1,1
5,1575.965,1,1
5,1576.221,1,1
5,1576.477,1,1
5,1576.733,1,1
5,1576.989,1,1
5,1577.245,1,1
5,1577.501,1,1
5,1577.757,1,1
5,1578.013,1,1
5,1578.269,1,1
5,1578.525,1,1
5,1578.781,0,0
5,1579.037,0,0
5,1579.2930000000001,0,0
5,1579.549,0,0
5,1579.805,0,0
5,1580.061,0,0
5,1580.317,0,0
5,1580.573,0,0
5,1580.83,1,1
5,1581.086,1,1
5,1581.342,1,1
5,1581.854,1,1
5,1582.11,1,1
5,1582.366,1,1
5,1582.624,1,1
5,1582.88,1,1
5,1583.136,1,1
5,1583.392,1,1
5,1583.648,1,1
5,1583.904,1,1
5,1584.16,1,1
5,1584.416,1,1
5,1584.9279999999999,1,1
5,1585.184,1,1
5,1585.44,1,1
5,1585.6970000000001,1,1
5,1585.953,1,1
5,1586.209,1,1
5,1586.465,1,1
5,1586.721,1,1
5,1586.977,1,1
5,1587.233,1,1
5,1587.489,1,1
5,1587.745,1,1
5,1588.001,1,1
5,1588.257,1,1
5,1588.513,1,1
5,1588.769,1,1
5,1589.025,1,1
5,1589.281,1,1
5,1589.537,1,1
5,1589.7930000000001,1,1
5,1590.049,1,1
5,1590.305,1,1
5,1590.561,1,1
5,1590.817,1,1
5,1591.073,1,1
5,1591.329,1,1
5,1591.585,1,1
5,1591.841,1,1
5,1592.097,1,1
5,1592.353,1,1
5,1592.609,0,0
5,1592.865,0,0
5,1593.121,0,0
5,1593.377,0,0
5,1593.633,0,0
5,1593.889,0,0
5,1594.145,0,0
5,1594.401,1,1
5,1594.657,1,1
5,1594.913,1,1
5,1595.169,1,1
5,1595.425,1,1
5,1595.681,1,1
5,1595.937,1,1
5,1596.193,1,1
5,1596.449,1,1
5,1596.705,1,1
5,1596.961,1,1
5,1597.217,1,1
5,1597.473,1,1
5,1597.729,1,1
5,1597.985,1,1
5,1598.241,1,1
5,1598.754,1,1
5,1599.01,1,1
5,1599.266,1,1
5,1599.522,1,1
5,1599.778,1,1
5,1600.034,1,1
5,1600.29,0,0
5,1600.546,0,0
5,1600.802,0,0
5,1601.058,0,0
5,1601.314,0,0
5,1601.57,0,0
5,1601.826,1,1
5,1602.0819999999999,1,1
5,1602.594,1,1
5,1602.85,1,1
5,1603.106,1,1
5,1603.362,1,1
5,1603.618,1,1
5,1603.874,1,1
5,1604.13,1,1
5,1604.386,1,1
5,1604.642,1,1
5,1604.898,1,1
5,1605.154,1,1
5,1605.41,1,1
5,1605.666,1,1
5,1605.922,1,1
5,1606.1779999999999,1,1
5,1606.434,1,1
5,1606.69,1,1
5,1606.946,0,0
5,1607.202,0,0
5,1607.458,0,0
5,1607.714,0,0
5,1607.97,0,0
5,1608.226,0,0
5,1608.483,0,0
5,1608.74,0,0
5,1608.996,1,1
5,1609.252,1,1
5,1609.508,1,1
5,1609.764,1,1
5,1610.02,1,1
5,1610.276,1,1
5,1610.532,1,1
5,1610.788,1,1
5,1611.044,1,1
5,1611.3,1,1
5,1611.556,1,1
5,1611.812,1,1
5,1612.068,1,1
5,1612.324,1,1
5,1612.58,1,1
5,1612.836,1,1
5,1613.092,1,1
5,1613.348,1,1
5,1613.604,1,1
5,1613.86,0,0
5,1614.116,0,0
5,1614.372,0,0
5,1614.628,0,0
5,1614.885,0,0
5,1615.141,0,0
5,1615.397,0,0
5,1615.653,0,0
5,1615.909,0,0
5,1616.165,0,0
5,1616.421,1,1
5,1616.677,1,1
5,1616.933,1,1
5,1617.189,1,1
5,1617.445,1,1
5,1617.701,1,1
5,1617.9569999999999,1,1
5,1618.213,1,1
5,1618.469,1,1
5,1618.725,1,1
5,1618.981,1,1
5,1619.237,1,1
5,1619.493,1,1
5,1619.749,1,1
5,1620.005,1,1
5,1620.261,1,1
5,1620.517,1,1
5,1620.773,1,1
5,1621.03,1,1
5,1621.286,1,1
5,1621.542,1,1
5,1621.798,1,1
5,1622.054,0,0
5,1622.31,0,0
5,1622.566,0,0
5,1622.8220000000001,0,0
5,1623.078,0,0
5,1623.334,0,0
5,1623.59,0,0
5,1623.846,0,0
5,1624.102,1,1
5,1624.358,1,1
5,1624.614,1,1
5,1624.87,1,1
5,1625.126,1,1
5,1625.382,1,1
5,1625.638,1,1
5,1625.894,1,1
5,1626.15,1,1
5,1626.406,1,1
5,1626.662,1,1
5,1626.9180000000001,1,1
5,1627.174,1,1
5,1627.43,1,1
5,1627.686,1,1
5,1627.942,1,1
5,1628.198,1,1
5,1628.454,1,1
5,1628.71,1,1
5,1628.966,1,1
5,1629.222,1,1
5,1629.478,1,1
5,1629.734,1,1
5,1629.99,1,1
5,1630.246,1,1
5,1630.502,1,1
5,1630.758,1,1
5,1631.0140000000001,1,1
5,1631.27,1,1
5,1631.526,1,1
5,1631.782,1,1
5,1632.038,1,1
5,1632.294,1,1
5,1632.55,1,1
5,1632.806,1,1
5,1633.062,1,1
5,1633.318,1,1
5,1633.574,1,1
5,1633.83,1,1
5,1634.086,1,1
5,1634.342,1,1
5,1634.598,1,1
5,1634.854,1,1
5,1635.1100000000001,1,1
5,1635.366,1,1
5,1635.622,1,1
5,1635.878,1,1
5,1636.134,1,1
5,1636.3899999999999,1,1
5,1636.647,1,1
5,1636.903,1,1
5,1637.159,1,1
5,1637.415,0,0
5,1637.671,0,0
5,1637.927,0,0
5,1638.183,0,0
5,1638.439,0,0
5,1638.695,0,0
5,1638.951,0,0
5,1639.2069999999999,1,1
5,1639.463,1,1
5,1639.719,1,1
5,1639.975,1,1
5,1640.231,1,1
5,1640.487,1,1
5,1640.743,1,1
5,1640.999,1,1
5,1641.255,1,1
5,1641.511,1,1
5,1641.767,1,1
5,1642.023,1,1
5,1642.279,1,1
5,1642.535,1,1
5,1642.791,1,1
5,1643.047,1,1
5,1643.3029999999999,0,0
5,1643.559,0,0
5,1643.817,0,0
5,1644.073,0,1
5,1644.329,0,1
5,1644.585,0,0
5,1644.841,1,1
5,1645.097,1,1
5,1645.353,1,1
5,1645.609,1,1
5,1645.865,1,1
5,1646.121,1,1
5,1646.377,1,1
5,1646.633,1,1
5,1646.8890000000001,1,1
5,1647.145,1,1
5,1647.401,1,1
5,1647.657,1,1
5,1647.913,1,1
5,1648.169,1,1
5,1648.425,0,0
5,1648.681,0,0
5,1648.937,0,0
5,1649.193,0,0
5,1649.449,0,0
5,1649.705,0,0
5,1649.962,0,0
5,1650.218,0,0
5,1650.474,1,1
5,1650.73,1,1
5,1650.9859999999999,1,1
5,1651.242,1,1
5,1651.498,1,1
5,1651.754,1,1
5,1652.01,1,1
5,1652.266,1,1
5,1652.523,1,1
5,1652.779,1,1
5,1653.035,1,1
5,1653.291,1,1
5,1653.547,1,1
5,1653.8029999999999,1,1
5,1654.059,1,1
5,1654.315,1,1
5,1654.571,1,1
5,1654.827,1,1
5,1655.083,1,1
5,1655.34,1,1
5,1655.596,1,1
5,1655.852,1,1
5,1656.108,1,1
5,1656.364,1,1
5,1656.62,1,1
5,1656.876,1,1
5,1657.132,1,1
5,1657.388,1,1
5,1657.644,1,1
5,1657.9,1,1
5,1658.156,1,1
5,1658.412,1,1
5,1658.6680000000001,1,1
5,1658.924,1,1
5,1659.18,1,1
5,1659.436,1,1
5,1659.692,1,1
5,1659.948,1,1
5,1660.204,1,1
5,1660.46,1,1
5,1660.716,1,1
5,1660.972,1,1
5,1661.228,1,1
5,1661.484,1,1
5,1661.74,1,1
5,1661.996,1,1
5,1662.508,1,1
5,1662.7640000000001,1,1
5,1663.02,1,1
5,1663.276,1,1
5,1663.532,1,1
5,1663.788,1,1
5,1664.044,1,1
5,1664.3,1,1
5,1664.556,1,1
5,1664.813,0,0
5,1665.069,0,0
5,1665.325,0,0
5,1665.581,0,0
5,1665.837,0,0
5,1666.093,0,0
5,1666.349,1,1
5,1666.605,1,1
18,1546.009,1,0
18,1546.265,1,0
18,1546.521,1,1
18,1546.777,1,1
18,1547.033,1,1
18,1547.289,1,1
18,1547.545,1,1
18,1547.801,1,1
18,1548.057,1,1
18,1548.313,1,1
18,1548.569,1,1
18,1548.825,1,1
18,1549.081,1,1
18,1549.337,1,1
18,1549.593,1,1
18,1549.849,1,1
18,1550.105,1,1
18,1550.361,1,1
18,1550.617,1,1
18,1550.874,1,1
18,1551.386,1,1
18,1551.642,1,1
18,1551.898,1,1
18,1552.154,1,1
18,1552.41,0,0
18,1552.666,0,0
18,1552.922,0,0
18,1553.1779999999999,0,0
18,1553.434,0,0
18,1553.69,0,0
18,1553.946,0,0
18,1554.202,0,0
18,1554.458,0,0
18,1554.714,1,1
18,1554.97,1,1
18,1555.226,1,1
18,1555.482,1,1
18,1555.738,1,1
18,1555.994,1,1
18,1556.251,1,1
18,1556.507,1,1
18,1556.763,1,1
18,1557.019,1,1
18,1557.275,1,1
18,1557.531,1,1
18,1557.787,1,1
18,1558.043,1,1
18,1558.299,1,1
18,1558.555,1,1
18,1558.811,1,1
18,1559.067,1,1
18,1559.323,1,1
18,1559.579,1,1
18,1559.835,1,1
18,1560.091,1,1
18,1560.347,1,1
18,1560.603,0,0
18,1560.859,0,0
18,1561.115,0,0
18,1561.371,0,0
18,1561.627,0,0
18,1561.883,0,0
18,1562.139,0,0
18,1562.395,0,0
18,1562.651,0,0
18,1562.907,0,0
18,1563.163,1,1
18,1563.419,1,1
18,1563.675,1,1
18,1563.931,1,1
18,1564.187,1,1
18,1564.443,1,1
18,1564.699,1,1
18,1564.955,1,1
18,1565.211,1,1
18,1565.467,1,1
18,1565.723,1,1
18,1565.979,1,1
18,1566.235,1,1
18,1566.491,1,1
18,1566.747,1,1
18,1567.003,1,1
18,1567.259,1,1
18,1567.516,1,1
18,1567.772,1,1
18,1568.028,1,1
18,1568.284,1,1
18,1568.54,1,1
18,1568.796,1,1
18,1569.052,0,0
18,1569.308,0,0
18,1569.565,0,0
18,1569.821,0,0
18,1570.077,0,0
18,1570.333,0,0
18,1570.589,0,0
18,1570.846,0,0
18,1571.102,0,0
18,1571.358,1,1
18,1571.614,1,1
18,1571.87,1,1
18,1572.126,1,1
18,1572.382,1,1
18,1572.638,1,1
18,1572.894,1,1
18,1573.15,1,1
18,1573.406,1,1
18,1573.662,1,1
18,1573.9180000000001,1,1
18,1574.174,1,1
18,1574.43,1,1
18,1574.687,1,1
18,1574.943,1,1
18,1575.455,1,1
18,1575.711,1,0
18,1575.967,0,0
18,1576.223,0,0
18,1576.479,0,0
18,1576.735,0,0
18,1576.991,0,0
18,1577.247,0,0
18,1577.503,0,0
18,1577.759,0,0
18,1578.015,1,1
18,1578.271,1,1
18,1578.527,1,1
18,1578.783,1,1
18,1579.039,1,1
18,1579.295,1,1
18,1579.551,1,1
18,1579.807,1,1
18,1580.063,1,1
18,1580.319,1,1
18,1580.575,1,1
18,1580.831,1,1
18,1581.087,1,1
18,1581.343,1,1
18,1581.599,1,1
18,1581.855,1,1
18,1582.112,1,1
18,1582.368,1,1
18,1582.624,1,1
18,1582.88,0,0
18,1583.136,0,0
18,1583.392,0,0
18,1583.648,0,0
18,1583.904,0,0
18,1584.16,0,0
18,1584.416,0,0
18,1584.672,0,0
18,1584.9279999999999,0,0
18,1585.185,0,0
18,1585.6970000000001,0,0
18,1585.953,0,0
18,1586.209,0,0
18,1586.465,1,1
18,1586.721,0,0
18,1586.977,0,0
18,1587.233,1,1
18,1587.489,1,1
18,1587.745,1,1
18,1588.001,1,1
18,1588.257,1,1
18,1588.513,1,1
18,1588.769,1,1
18,1589.025,1,1
18,1589.281,1,1
18,1589.537,1,1
18,1589.7930000000001,1,1
18,1590.049,1,1
18,1590.305,1,1
18,1590.561,0,0
18,1590.817,0,0
18,1591.073,0,0
18,1591.329,0,0
18,1591.585,0,0
18,1591.841,0,0
18,1592.097,0,0
18,1592.353,0,0
18,1592.609,0,0
18,1592.865,0,0
18,1593.121,0,0
18,1593.377,0,0
18,1593.633,0,0
18,1593.889,0,0
18,1594.145,0,0
18,1594.401,0,0
18,1594.657,0,0
18,1594.913,0,0
18,1595.169,1,1
18,1595.425,1,1
18,1595.681,1,1
18,1595.937,1,1
18,1596.193,1,1
18,1596.449,1,1
18,1596.705,1,1
18,1596.961,0,0
18,1597.217,0,0
18,1597.473,0,0
18,1597.729,0,0
18,1597.985,0,0
18,1598.241,0,0
18,1598.497,0,0
18,1598.753,1,1
18,1599.009,1,1
18,1599.265,1,1
18,1599.521,1,1
18,1599.777,1,1
18,1600.033,1,1
18,1600.289,1,1
18,1600.545,1,1
18,1600.801,1,1
18,1601.057,1,1
18,1601.313,1,1
18,1601.569,1,1
18,1601.825,1,1
18,1602.081,1,1
18,1602.337,1,1
18,1602.593,1,1
18,1602.849,1,1
18,1603.105,1,1
18,1603.361,1,1
18,1603.617,1,1
18,1603.873,0,0
18,1604.129,0,0
18,1604.385,0,0
18,1604.641,0,0
18,1604.897,0,0
18,1605.153,0,0
18,1605.409,0,0
18,1605.665,0,0
18,1605.921,0,0
18,1606.177,0,0
18,1606.433,1,1
18,1606.689,1,1
18,1606.945,1,1
18,1607.201,1,1
18,1607.4569999999999,1,1
18,1607.713,1,1
18,1607.969,1,1
18,1608.225,1,1
18,1608.481,1,1
18,1608.737,1,1
18,1608.993,1,1
18,1609.249,1,1
18,1609.505,1,1
18,1609.761,1,1
18,1610.018,1,1
18,1610.274,1,1
18,1610.53,1,1
18,1610.786,1,1
18,1611.042,0,0
18,1611.298,0,0
18,1611.554,0,0
18,1611.81,0,0
18,1612.066,0,0
18,1612.3220000000001,0,0
18,1612.578,0,0
18,1612.834,0,0
18,1613.09,0,0
18,1613.346,0,0
18,1613.602,1,1
18,1613.858,0,0
18,1614.114,1,1
18,1614.37,1,1
18,1614.626,1,1
18,1614.882,1,1
18,1615.138,1,1
18,1615.395,1,1
18,1615.651,1,1
18,1615.907,1,1
18,1616.163,1,1
18,1616.419,1,1
18,1616.675,1,1
18,1616.931,1,1
18,1617.187,1,1
18,1617.443,1,1
18,1617.699,1,1
18,1617.955,1,1
18,1618.211,1,1
18,1618.467,1,1
18,1618.723,1,1
18,1618.979,1,1
18,1619.235,1,1
18,1619.491,0,0
18,1619.747,0,0
18,1620.003,0,0
18,1620.259,0,0
18,1620.515,0,0
18,1620.771,0,0
18,1621.027,0,0
18,1621.283,0,0
18,1621.539,0,0
18,1621.795,0,0
