Leg,Timestamp,Phase,Contact
13,2036.735,1,1
13,2036.991,1,1
13,2037.247,1,1
13,2037.504,0,0
13,2037.76,0,0
13,2038.016,0,0
13,2038.272,0,0
13,2038.528,0,0
13,2039.04,1,1
13,2039.296,1,1
13,2039.552,1,1
13,2039.808,1,1
13,2040.064,1,1
13,2040.32,1,1
13,2040.576,1,1
13,2040.832,1,1
13,2041.088,1,1
13,2041.344,1,1
13,2041.6,1,1
13,2041.856,1,1
13,2042.112,1,1
13,2042.368,1,1
13,2042.624,1,1
13,2042.88,1,1
13,2043.136,1,1
13,2043.393,0,0
13,2043.649,0,0
13,2043.905,0,0
13,2044.161,0,0
13,2044.417,0,0
13,2044.673,0,0
13,2044.929,0,0
13,2045.185,0,0
13,2045.441,0,0
13,2045.6970000000001,0,0
13,2045.953,1,1
13,2046.209,1,1
13,2046.465,1,1
13,2046.721,1,1
13,2046.978,1,1
13,2047.234,1,1
13,2047.49,1,1
13,2047.746,1,1
13,2048.002,1,1
13,2048.258,1,1
13,2048.514,1,1
13,2048.77,1,1
13,2049.026,1,1
13,2049.283,1,1
13,2049.539,1,1
13,2049.795,0,0
13,2050.051,0,0
13,2050.307,0,0
13,2050.563,0,0
13,2050.819,0,0
13,2051.075,0,0
13,2051.331,0,0
13,2051.587,0,0
13,2051.843,0,0
13,2052.099,0,0
13,2052.355,0,0
13,2052.611,0,0
13,2052.867,1,1
13,2053.123,1,1
13,2053.379,1,1
13,2053.636,1,1
13,2053.892,1,1
13,2054.148,1,1
13,2054.404,1,1
13,2054.66,1,1
13,2054.916,1,1
13,2055.172,1,1
13,2055.428,1,1
13,2055.684,1,1
13,2055.94,1,1
13,2056.196,1,1
13,2056.452,1,1
13,2056.708,0,0
13,2056.964,0,0
13,2057.22,0,0
13,2057.476,0,0
13,2057.732,0,0
13,2057.988,0,0
13,2058.244,0,0
13,2058.5,0,0
13,2058.756,0,0
13,2059.012,0,0
13,2059.268,1,1
13,2059.524,1,1
13,2059.78,1,1
13,2060.036,1,1
13,2060.292,1,1
13,2060.548,1,1
13,2060.804,1,1
13,2061.06,1,1
13,2061.316,1,1
13,2061.572,1,1
13,2061.828,1,1
13,2062.084,1,1
13,2062.34,1,1
13,2062.596,1,1
13,2062.852,1,1
13,2063.108,1,1
13,2063.366,1,1
13,2063.622,1,1
13,2063.878,0,0
13,2064.134,0,0
13,2064.39,0,0
13,2064.646,0,0
13,2064.902,0,0
13,2065.158,0,0
13,2065.414,0,0
13,2065.67,0,0
13,2065.926,0,0
13,2066.182,0,0
13,2066.438,1,1
13,2066.694,1,1
13,2066.95,1,1
13,2067.206,1,1
13,2067.462,1,1
13,2067.718,1,1
13,2067.974,1,1
13,2068.23,1,1
13,2068.486,1,1
13,2068.742,1,1
13,2068.998,1,1
13,2069.254,1,1
13,2069.51,1,1
13,2069.766,1,1
13,2070.022,1,1
13,2070.278,0,0
13,2070.534,0,0
13,2070.79,0,0
13,2071.046,0,0
13,2071.302,0,0
13,2071.558,0,0
13,2071.815,0,0
13,2072.071,0,0
13,2072.327,0,0
13,2072.583,1,1
13,2072.839,1,1
13,2073.095,1,1
13,2073.351,1,1
13,2073.607,1,1
13,2073.863,1,1
13,2074.119,1,1
13,2074.375,1,1
13,2074.631,1,1
13,2074.889,1,1
13,2075.145,1,1
13,2075.401,1,1
13,2075.657,1,1
13,2075.913,1,1
13,2076.17,1,1
13,2076.426,1,1
13,2076.682,1,1
13,2076.938,1,1
13,2077.194,1,1
13,2077.706,0,0
13,2077.962,0,0
13,2078.218,0,0
13,2078.474,0,0
13,2078.73,0,0
13,2078.986,0,1
13,2079.242,0,1
13,2079.498,0,1
13,2079.754,0,1
13,2080.01,0,1
13,2080.266,0,1
13,2080.522,0,1
13,2080.778,0,1
13,2081.034,0,1
13,2081.29,0,1
13,2081.546,0,1
13,2081.802,0,1
13,2082.058,0,1
13,2082.314,0,1
13,2082.57,0,1
13,2083.082,0,0
13,2083.338,0,0
13,2083.594,0,0
13,2083.85,0,0
13,2084.1059999999998,0,0
13,2084.363,0,0
13,2084.619,1,1
13,2084.875,1,1
13,2085.131,1,1
13,2085.387,1,1
13,2085.643,1,1
13,2085.899,1,1
13,2086.155,1,1
13,2086.411,1,1
13,2086.667,1,1
13,2086.923,1,1
13,2087.179,1,1
13,2087.435,1,1
13,2087.691,1,1
13,2087.947,1,1
13,2088.204,1,1
13,2088.46,0,0
13,2088.716,0,0
13,2088.972,0,0
13,2089.228,0,0
13,2089.484,0,0
13,2089.74,0,1
13,2089.996,0,1
13,2090.252,0,1
13,2090.509,0,1
13,2090.765,0,1
13,2091.021,0,1
13,2091.277,0,1
13,2091.533,0,1
13,2091.789,0,1
13,2092.045,0,1
13,2092.302,0,1
13,2092.558,0,1
13,2092.814,0,1
13,2093.07,0,1
13,2093.326,0,0
13,2093.582,0,0
13,2094.095,0,0
13,2094.351,0,0
13,2094.607,0,0
13,2094.863,0,0
13,2095.119,0,0
13,2095.376,0,0
13,2095.633,0,0
13,2095.889,0,0
13,2096.145,0,0
13,2096.401,0,0
13,2096.657,0,0
13,2096.913,0,0
13,2097.169,0,0
13,2097.425,0,0
13,2097.682,0,0
13,2097.938,0,1
13,2098.194,0,1
13,2098.45,0,1
13,2098.706,0,1
13,2098.962,0,1
13,2099.218,0,1
13,2099.474,0,1
13,2099.73,0,1
13,2099.986,0,1
13,2100.242,0,1
13,2100.498,0,1
13,2100.754,0,1
5,2036.735,1,1
5,2036.991,1,1
5,2037.247,1,1
5,2037.503,1,1
5,2037.76,1,1
5,2038.017,1,1
5,2038.273,1,1
5,2038.529,1,1
5,2038.785,1,1
5,2039.041,1,1
5,2039.297,1,1
5,2039.5529999999999,1,1
5,2039.809,1,1
5,2040.065,0,0
5,2040.577,0,0
5,2040.834,0,0
5,2041.09,0,0
5,2041.346,0,0
5,2041.602,0,0
5,2042.114,0,0
5,2042.37,0,0
5,2042.626,1,1
5,2042.882,1,1
5,2043.138,1,1
5,2043.394,1,1
5,2043.65,1,1
5,2043.906,1,1
5,2044.162,1,1
5,2044.418,1,1
5,2044.674,1,1
5,2044.93,1,1
5,2045.186,1,1
5,2045.442,1,1
5,2045.698,1,1
5,2045.954,1,1
5,2046.21,0,0
5,2046.466,0,0
5,2046.722,0,0
5,2046.978,0,0
5,2047.234,0,0
5,2047.49,0,0
5,2047.746,0,0
5,2048.002,0,0
5,2048.258,1,1
5,2048.514,1,1
5,2048.77,1,1
5,2049.026,1,1
5,2049.282,1,1
5,2049.538,1,1
5,2049.794,1,1
5,2050.05,1,1
5,2050.306,1,1
5,2050.562,1,1
5,2050.818,1,1
5,2051.074,1,1
5,2051.33,1,1
5,2051.586,1,1
5,2051.842,1,1
5,2052.099,1,1
5,2052.355,1,1
5,2052.611,1,1
5,2052.867,1,1
5,2053.123,1,1
