Leg,Timestamp,Phase,Contact
18,1038.482,1,0
18,1038.738,1,0
18,1038.994,1,1
18,1039.25,1,1
18,1039.506,1,1
18,1039.762,1,1
18,1040.018,1,1
18,1040.274,1,1
18,1040.53,1,1
18,1040.786,1,1
18,1041.043,1,1
18,1041.299,1,1
18,1041.555,1,1
18,1041.811,1,1
18,1042.067,1,1
18,1042.323,1,1
18,1042.579,1,1
18,1042.835,1,1
18,1043.091,1,1
18,1043.347,1,1
18,1043.603,1,1
18,1043.859,1,1
18,1044.115,1,1
18,1044.371,1,0
18,1044.627,1,0
18,1044.883,1,0
18,1045.14,1,1
18,1045.396,1,1
18,1045.652,1,1
18,1045.908,1,1
18,1046.164,1,1
18,1046.42,1,1
18,1046.676,0,0
18,1046.932,0,0
18,1047.188,0,0
18,1047.444,0,0
18,1047.7,0,0
18,1047.956,0,0
18,1048.212,0,0
18,1048.468,0,0
18,1048.724,1,1
18,1048.98,1,1
18,1049.493,1,0
18,1049.749,1,0
18,1050.005,1,0
18,1050.261,1,0
18,1050.517,1,1
18,1050.773,1,1
18,1051.029,1,1
18,1051.285,1,1
18,1051.541,1,1
18,1051.797,1,1
18,1052.0529999999999,1,1
18,1052.309,1,1
18,1052.565,1,1
18,1052.821,1,1
18,1053.077,1,1
18,1053.334,1,1
18,1053.59,1,1
18,1053.846,0,0
18,1054.102,0,0
18,1054.358,0,0
18,1054.614,0,0
18,1054.872,0,0
18,1055.129,0,0
18,1055.385,0,0
18,1055.641,0,0
18,1055.897,0,0
18,1056.153,0,0
18,1056.409,0,0
18,1056.665,0,0
18,1056.921,0,0
18,1057.177,1,1
18,1057.433,1,1
18,1057.689,1,1
18,1057.945,1,1
18,1058.201,1,1
18,1058.457,1,1
18,1058.713,1,1
18,1058.969,1,1
18,1059.226,1,1
18,1059.484,1,1
18,1059.74,1,1
18,1059.996,1,1
18,1060.252,1,1
18,1060.508,1,1
18,1060.764,1,1
18,1061.02,1,1
18,1061.276,1,1
18,1061.533,0,0
18,1061.789,0,0
18,1062.045,0,0
18,1062.301,0,0
18,1062.813,0,0
18,1063.069,0,0
18,1063.325,0,0
18,1063.582,0,0
18,1063.838,0,0
18,1064.094,0,0
18,1064.35,1,1
18,1064.606,1,1
18,1064.863,1,1
18,1065.119,1,1
18,1065.375,1,1
18,1065.631,1,1
18,1065.887,1,1
18,1066.143,1,1
18,1066.399,1,1
18,1066.655,1,1
18,1066.911,1,1
18,1067.167,1,1
18,1067.424,1,1
18,1067.68,1,1
18,1067.936,1,1
18,1068.192,0,0
18,1068.448,0,0
18,1068.704,0,0
18,1068.96,0,0
18,1069.216,0,0
18,1069.472,0,0
18,1069.728,0,0
18,1069.984,0,0
18,1070.24,0,0
18,1070.496,1,1
18,1070.752,1,1
18,1071.008,1,1
18,1071.264,1,1
18,1071.52,1,1
18,1071.776,1,1
18,1072.032,1,1
18,1072.288,1,1
18,1072.544,1,1
18,1072.8,1,1
18,1073.056,1,1
18,1073.312,1,1
18,1073.568,1,1
18,1073.824,1,1
18,1074.08,1,1
18,1074.336,1,1
18,1074.593,1,1
18,1074.85,1,1
18,1075.106,1,1
18,1075.362,1,1
18,1075.618,1,1
18,1075.874,1,1
18,1076.13,1,1
18,1076.386,0,0
18,1076.642,0,0
18,1076.898,0,0
18,1077.41,0,0
18,1077.666,0,0
18,1077.922,0,0
18,1078.1779999999999,0,0
18,1078.434,0,0
18,1078.69,0,0
18,1078.946,1,1
18,1079.202,1,1
18,1079.458,1,1
18,1079.715,1,1
18,1079.971,1,1
18,1080.227,1,1
18,1080.483,1,1
18,1080.739,1,1
18,1080.995,1,1
18,1081.251,1,1
