Leg,Timestamp,Phase,Contact
17,2029.914,1,1
17,2030.171,1,1
17,2030.428,1,1
17,2030.684,1,1
17,2030.94,1,1
17,2031.196,1,1
17,2031.452,1,1
17,2031.708,1,1
17,2031.965,0,0
17,2032.221,0,0
17,2032.477,0,0
17,2032.989,0,0
17,2033.245,0,0
17,2033.501,1,1
17,2033.758,1,1
17,2034.014,1,1
17,2034.27,1,1
17,2034.526,1,1
17,2034.782,1,1
17,2035.038,1,1
17,2035.294,1,1
17,2035.551,1,1
17,2035.807,1,1
17,2036.063,1,1
17,2036.319,1,1
17,2036.575,1,1
17,2036.832,1,1
17,2037.088,1,1
17,2037.344,1,1
17,2037.6,1,1
17,2037.856,1,1
17,2038.112,1,1
17,2038.368,1,1
17,2038.624,1,1
17,2038.88,0,0
17,2039.136,0,0
17,2039.392,0,0
17,2039.648,0,0
17,2039.904,0,0
17,2040.161,0,0
17,2040.417,0,0
17,2040.673,0,0
17,2040.929,0,0
17,2041.185,0,0
17,2041.441,0,0
17,2041.6970000000001,1,1
17,2041.953,1,1
17,2042.209,1,1
17,2042.465,1,1
17,2042.721,1,1
17,2042.977,1,1
17,2043.233,1,1
17,2043.489,1,1
17,2043.745,1,1
17,2044.001,1,1
17,2044.257,1,1
17,2044.513,1,1
17,2044.769,1,1
17,2045.025,1,1
17,2045.281,1,1
17,2045.538,1,1
17,2045.795,1,1
17,2046.051,1,1
17,2046.307,1,1
17,2046.563,1,1
17,2046.819,1,1
17,2047.075,0,0
17,2047.331,0,0
17,2047.587,0,0
17,2047.843,0,0
17,2048.099,0,0
17,2048.355,0,0
17,2048.611,0,0
17,2048.867,0,0
17,2049.123,0,0
17,2049.379,0,0
17,2049.635,0,0
17,2049.891,0,0
17,2050.147,0,0
17,2050.403,0,0
17,2050.659,0,0
17,2050.915,0,0
17,2051.171,0,0
17,2051.427,0,0
17,2051.683,0,0
17,2051.939,0,0
17,2052.195,0,0
17,2052.451,0,0
17,2052.707,0,0
17,2052.963,0,0
17,2053.219,1,1
17,2053.475,1,1
17,2053.731,1,1
17,2053.987,1,1
17,2054.243,1,1
17,2054.499,1,1
17,2055.011,1,1
17,2055.267,1,1
17,2055.523,1,1
17,2055.779,1,1
17,2056.035,1,1
17,2056.291,1,1
17,2056.547,1,1
17,2056.803,1,1
17,2057.059,1,1
17,2057.315,1,1
17,2057.571,1,1
17,2057.828,0,0
17,2058.084,0,0
17,2058.34,0,0
17,2058.596,0,0
17,2058.852,0,0
17,2059.108,0,0
17,2059.364,0,0
17,2059.62,0,0
17,2059.876,0,0
17,2060.132,0,0
17,2060.388,0,0
17,2060.644,0,0
17,2060.9,1,1
17,2061.156,1,1
17,2061.412,1,1
17,2061.668,1,1
17,2061.924,1,1
17,2062.18,1,1
17,2062.436,1,1
17,2062.692,1,1
17,2062.948,1,1
17,2063.204,1,1
17,2063.46,1,1
17,2063.716,1,1
17,2063.972,1,1
17,2064.228,1,1
17,2064.484,1,1
17,2064.74,1,1
17,2064.996,1,1
17,2065.252,1,1
17,2065.508,0,0
17,2065.764,0,0
17,2066.02,0,0
17,2066.276,0,0
17,2066.532,0,0
17,2066.788,0,0
17,2067.044,0,0
17,2067.3,0,0
17,2067.556,0,0
17,2067.813,0,0
17,2068.069,1,1
17,2068.325,1,1
17,2068.581,1,1
17,2068.837,1,1
17,2069.093,1,1
17,2069.349,1,1
17,2069.605,1,1
17,2069.862,1,1
17,2070.118,1,1
17,2070.374,1,1
17,2070.63,1,1
17,2070.886,1,1
17,2071.142,1,1
17,2071.398,1,1
17,2071.654,1,1
17,2071.91,1,1
17,2072.166,1,1
17,2072.422,1,1
17,2072.678,1,1
17,2072.934,1,1
17,2073.19,1,1
17,2073.446,1,1
17,2073.702,0,0
17,2073.958,0,0
17,2074.214,0,0
17,2074.47,0,0
17,2074.726,0,0
17,2074.982,0,0
17,2075.238,0,0
17,2075.494,0,0
17,2075.75,0,0
17,2076.008,0,0
17,2076.264,0,0
17,2076.52,0,0
17,2076.776,0,0
17,2077.032,0,0
17,2077.288,0,0
17,2077.544,0,0
17,2077.8,1,1
17,2078.056,1,1
17,2078.312,1,1
17,2078.568,1,1
17,2078.824,1,1
17,2079.08,1,1
17,2079.336,1,1
17,2079.592,1,1
17,2079.848,1,1
17,2080.104,1,1
17,2080.36,1,1
17,2080.616,1,1
17,2080.872,1,1
17,2081.128,1,1
17,2081.384,0,0
17,2081.64,0,0
17,2081.896,0,0
17,2082.152,0,0
17,2082.408,0,0
17,2082.664,0,0
17,2082.92,0,0
17,2083.176,0,0
17,2083.432,0,0
17,2083.688,0,0
17,2083.944,0,0
17,2084.2,1,1
17,2084.456,1,1
17,2084.712,1,1
17,2084.968,1,1
17,2085.224,1,1
17,2085.48,1,1
17,2085.736,1,1
17,2085.993,1,1
17,2086.25,1,1
17,2086.506,1,1
17,2086.762,1,1
17,2087.018,1,1
17,2087.274,1,1
17,2087.53,1,1
17,2087.786,1,1
17,2088.042,1,1
17,2088.298,1,1
17,2088.554,1,1
17,2088.81,1,1
17,2089.066,1,1
17,2089.322,1,1
17,2089.578,1,1
17,2089.834,1,0
17,2090.09,1,0
17,2090.507,1,0
17,2090.763,1,0
17,2091.0190000000002,1,0
17,2091.276,1,0
17,2091.533,1,0
17,2091.789,1,1
17,2092.045,1,1
17,2092.301,1,1
17,2092.557,1,1
17,2092.814,1,1
17,2093.07,1,1
17,2093.326,1,1
17,2093.582,1,1
17,2093.838,1,1
17,2094.094,1,1
17,2094.351,1,1
17,2094.607,1,1
17,2094.863,1,1
17,2095.119,1,1
17,2095.375,1,1
17,2095.631,1,1
17,2095.887,1,1
17,2096.143,1,1
17,2096.399,1,1
17,2096.655,1,1
17,2096.913,1,1
17,2097.169,1,1
17,2097.425,1,1
17,2097.681,1,1
17,2097.937,1,1
17,2098.193,1,1
17,2098.449,1,1
17,2098.705,1,1
17,2098.961,1,1
17,2099.217,1,1
17,2099.473,1,1
17,2099.729,1,1
17,2099.985,1,1
17,2100.241,1,1
17,2100.497,1,1
17,2101.009,1,0
17,2101.265,1,0
17,2101.521,1,0
17,2101.777,1,1
17,2102.033,1,1
17,2102.289,1,1
17,2102.545,1,1
17,2102.801,1,1
17,2103.057,1,1
17,2103.313,1,1
17,2103.569,0,0
17,2103.825,0,0
17,2104.081,1,1
17,2104.337,1,1
17,2104.593,1,1
17,2104.849,1,1
17,2105.105,1,1
17,2105.361,1,1
17,2105.617,1,1
17,2105.873,1,1
17,2106.129,1,1
17,2106.385,1,1
17,2106.641,1,1
17,2106.897,1,1
17,2107.153,1,1
17,2107.409,1,1
17,2107.665,1,1
17,2107.921,1,1
17,2108.177,1,1
17,2108.433,1,1
17,2108.689,1,1
17,2108.945,1,1
17,2109.201,1,1
17,2109.457,1,1
17,2109.713,1,1
17,2109.969,1,1
17,2110.225,1,1
17,2110.4809999999998,1,1
17,2110.737,1,1
17,2110.993,1,1
17,2111.249,1,1
17,2111.505,1,1
17,2111.761,1,1
17,2112.017,1,1
17,2112.273,1,1
17,2112.529,1,1
17,2112.785,1,1
17,2113.041,1,1
17,2113.297,1,1
17,2113.554,1,1
17,2113.81,1,1
17,2114.066,1,1
17,2114.322,1,1
17,2114.578,1,0
17,2114.836,1,1
17,2115.092,1,1
17,2115.348,1,1
17,2115.604,1,1
17,2115.86,1,1
17,2116.116,1,1
17,2116.373,1,1
17,2116.629,1,1
17,2116.885,1,1
17,2117.142,1,1
17,2117.398,1,1
17,2117.654,1,1
17,2117.91,1,1
17,2118.166,1,1
17,2118.422,1,1
17,2118.678,1,1
17,2118.934,1,1
17,2119.19,1,1
17,2119.446,1,1
17,2119.702,1,1
17,2119.958,1,1
17,2120.214,1,1
17,2120.47,1,1
17,2120.726,1,1
17,2120.982,1,1
17,2121.238,1,1
17,2121.495,1,1
17,2121.751,1,1
17,2122.007,1,1
17,2122.263,1,1
17,2122.5190000000002,1,1
17,2122.775,1,0
17,2123.032,1,0
17,2123.288,1,0
17,2123.544,1,0
17,2123.8,1,0
17,2124.056,1,0
17,2124.312,1,0
17,2124.568,1,0
17,2124.824,1,0
17,2125.08,1,0
17,2125.336,1,0
17,2125.592,1,0
17,2125.848,1,0
17,2126.104,1,0
17,2126.36,1,0
17,2126.617,1,0
17,2126.873,1,0
17,2127.129,1,0
17,2127.385,1,0
17,2127.641,1,0
17,2127.897,1,0
17,2128.153,1,0
17,2128.409,1,0
17,2128.665,1,0
17,2128.921,1,0
17,2129.177,1,0
17,2129.433,1,0
17,2129.689,1,0
17,2129.946,1,0
17,2130.202,1,0
17,2130.458,1,0
17,2130.714,1,0
17,2131.091,1,0
17,2131.347,1,0
17,2131.603,1,0
17,2131.859,1,0
17,2132.115,1,0
17,2132.371,1,0
17,2132.627,1,0
17,2132.884,1,0
17,2133.14,1,0
17,2133.396,1,0
17,2133.652,1,0
17,2133.908,1,0
17,2134.1639999999998,1,0
17,2134.421,1,0
17,2134.677,1,0
17,2134.933,1,0
17,2135.189,1,0
17,2135.445,1,0
17,2135.701,1,0
17,2135.957,1,0
17,2136.213,1,0
17,2136.469,1,0
17,2136.725,1,0
17,2136.9809999999998,1,0
17,2137.237,1,0
17,2137.493,1,0
17,2137.749,1,0
17,2138.005,1,0
17,2138.261,1,0
17,2138.517,1,0
17,2138.773,1,0
17,2139.029,1,0
17,2139.285,1,0
17,2139.542,1,0
17,2139.799,1,0
17,2140.055,1,0
17,2140.311,1,0
17,2140.567,1,0
17,2140.823,1,0
17,2141.079,1,0
17,2141.335,1,0
17,2141.591,1,0
17,2141.847,1,0
17,2142.103,1,1
17,2142.359,1,1
17,2142.615,1,1
17,2142.871,1,1
17,2143.127,1,1
17,2143.383,1,1
17,2143.639,1,1
17,2143.895,1,1
17,2144.151,1,1
17,2144.407,1,1
17,2144.663,1,1
17,2144.919,1,1
17,2145.175,1,0
17,2145.431,1,0
17,2145.687,1,0
17,2145.943,1,0
17,2146.199,1,0
17,2146.455,1,0
17,2146.7110000000002,1,0
17,2146.967,1,0
17,2147.223,1,0
17,2147.48,1,0
17,2147.736,1,0
17,2147.992,1,0
17,2148.248,1,0
17,2148.504,1,0
17,2148.76,1,0
17,2149.016,1,0
17,2149.272,1,0
17,2149.528,1,0
17,2149.784,1,0
17,2150.04,1,0
17,2150.296,1,0
17,2150.552,1,0
17,2150.808,1,0
17,2151.32,1,0
17,2151.576,1,0
17,2151.832,1,0
17,2152.088,1,0
17,2152.344,1,0
17,2152.6,1,0
17,2152.8559999999998,1,0
17,2153.112,1,0
17,2153.368,1,0
17,2153.624,1,0
17,2153.88,1,0
17,2154.136,1,0
17,2154.392,1,0
17,2154.648,1,0
17,2154.904,1,0
17,2155.16,1,0
17,2155.416,1,0
17,2155.672,1,0
17,2155.928,1,0
17,2156.185,1,0
17,2156.441,1,0
17,2156.697,1,0
17,2156.953,1,0
17,2157.209,1,0
17,2157.465,1,0
17,2157.722,1,0
17,2157.978,1,0
17,2158.234,1,0
17,2158.49,1,0
17,2158.746,1,0
17,2159.002,1,0
17,2159.258,1,0
17,2159.515,1,0
17,2159.773,1,0
17,2160.029,1,0
17,2160.285,1,0
17,2160.542,1,0
17,2160.798,1,0
17,2161.054,1,0
17,2161.31,1,0
17,2161.566,1,0
17,2161.822,1,0
17,2162.078,1,0
17,2162.334,1,0
17,2162.59,1,0
17,2162.846,1,0
17,2163.102,1,0
17,2163.358,1,0
17,2163.614,1,0
17,2163.87,1,0
17,2164.127,1,0
17,2164.383,1,0
17,2164.639,1,0
17,2164.895,1,0
17,2165.151,1,0
17,2165.407,1,0
17,2165.663,1,0
17,2165.919,1,0
17,2166.175,1,0
17,2166.431,1,0
17,2166.687,1,0
17,2166.943,1,0
17,2167.199,1,0
17,2167.455,1,0
17,2167.7110000000002,1,0
17,2167.967,1,0
17,2168.223,1,0
17,2168.48,1,0
17,2168.736,1,0
17,2168.992,1,0
17,2169.248,1,0
17,2169.504,1,0
17,2169.76,1,0
17,2170.017,1,0
17,2170.274,1,0
17,2170.53,1,0
17,2170.786,1,0
17,2171.042,1,0
17,2171.298,0,0
17,2171.554,0,0
17,2171.81,0,0
17,2172.066,0,0
17,2172.322,0,0
17,2172.578,0,0
17,2172.834,0,0
17,2173.09,1,1
17,2173.346,1,1
17,2173.602,1,1
17,2173.858,1,1
17,2174.114,1,1
17,2174.37,0,0
17,2174.626,0,0
17,2174.882,0,0
17,2175.138,0,0
17,2175.3940000000002,0,0
17,2175.65,0,0
17,2175.906,1,1
17,2176.162,1,1
17,2176.418,1,1
17,2176.674,0,0
17,2176.93,0,0
17,2177.186,0,0
17,2177.442,1,1
17,2177.698,1,1
17,2177.954,1,1
17,2178.21,1,1
17,2178.466,1,1
17,2178.722,0,0
17,2178.978,0,0
17,2179.234,0,0
17,2179.49,0,0
17,2179.746,0,0
17,2180.002,0,0
17,2180.258,0,0
17,2180.514,1,1
17,2180.77,1,1
17,2181.026,1,1
17,2181.282,1,1
17,2181.538,0,0
17,2181.794,0,0
17,2182.05,0,0
17,2182.306,0,0
17,2182.562,1,1
17,2182.818,1,1
17,2183.074,1,1
17,2183.33,1,1
17,2183.5860000000002,1,1
17,2183.842,1,1
17,2184.098,1,1
17,2184.354,1,1
17,2184.61,1,1
17,2184.866,1,1
17,2185.122,1,1
17,2185.378,1,1
17,2185.634,1,1
17,2185.89,1,1
17,2186.146,1,1
17,2186.402,1,1
17,2186.658,1,1
17,2186.9139999999998,1,1
17,2187.17,0,0
17,2187.426,0,0
17,2187.682,0,0
17,2187.938,0,0
17,2188.194,0,0
17,2188.45,0,0
17,2188.706,1,1
17,2188.962,1,1
17,2189.218,1,1
17,2189.474,1,1
17,2189.73,1,1
17,2189.986,1,1
17,2190.242,1,1
17,2190.498,1,1
17,2190.755,1,1
17,2191.011,1,1
17,2191.267,1,1
17,2191.523,1,1
17,2191.779,1,1
17,2192.035,1,1
17,2192.291,1,1
17,2192.547,1,1
17,2192.804,1,1
17,2193.06,1,0
17,2193.316,1,0
17,2193.572,1,0
17,2193.829,0,0
17,2194.085,0,0
17,2194.341,0,0
17,2194.597,0,0
17,2194.853,0,0
17,2195.109,0,0
17,2195.365,0,0
17,2195.621,0,0
17,2195.877,1,1
17,2196.134,1,1
17,2196.39,1,1
17,2196.646,1,1
17,2196.902,1,1
17,2197.158,1,1
17,2197.4139999999998,1,1
17,2197.67,1,1
17,2197.926,1,1
17,2198.182,1,1
17,2198.438,1,1
17,2198.694,1,1
17,2198.95,1,1
17,2199.207,1,1
17,2199.463,1,1
17,2199.719,1,1
17,2199.975,1,1
17,2200.2309999999998,1,1
17,2200.487,1,1
17,2200.743,1,1
17,2200.999,0,0
17,2201.255,0,0
17,2201.511,0,0
17,2201.767,0,0
17,2202.023,0,0
17,2202.279,0,0
17,2202.535,0,0
17,2202.791,1,1
17,2203.047,1,1
17,2203.303,1,1
17,2203.559,1,1
17,2203.815,1,1
17,2204.071,0,0
17,2204.328,0,0
17,2204.584,0,0
17,2204.84,1,1
17,2205.096,1,1
17,2205.352,1,1
17,2205.608,1,1
17,2205.864,1,1
17,2206.12,1,1
17,2206.632,1,1
17,2206.888,1,1
17,2207.1440000000002,1,1
17,2207.4,1,1
17,2207.656,1,1
17,2207.912,1,1
17,2208.168,1,1
17,2208.424,1,1
17,2208.68,1,1
17,2208.936,1,1
17,2209.192,1,1
17,2209.448,0,0
17,2209.704,0,0
17,2209.96,1,1
17,2210.217,1,1
17,2210.473,1,1
17,2210.729,1,1
17,2210.985,1,1
17,2211.242,1,1
17,2211.498,1,1
17,2211.756,1,1
17,2212.012,1,1
17,2212.268,1,1
17,2212.524,1,1
17,2212.78,1,1
17,2213.036,0,0
17,2213.292,0,0
17,2213.548,0,0
17,2213.804,1,1
17,2214.06,1,1
17,2214.316,1,1
17,2214.572,1,1
17,2214.828,1,1
17,2215.084,1,1
17,2215.34,1,1
17,2215.596,1,1
17,2215.852,1,1
17,2216.108,1,1
17,2216.364,1,1
17,2216.62,1,1
17,2216.876,1,1
17,2217.132,1,1
17,2217.388,1,1
17,2217.6440000000002,1,1
17,2217.901,0,0
17,2218.157,0,0
17,2218.413,0,0
17,2218.669,0,0
17,2218.925,0,0
17,2219.181,0,0
17,2219.437,0,0
17,2219.693,0,0
17,2219.949,0,0
17,2220.205,1,1
17,2220.4610000000002,1,1
17,2220.717,1,1
17,2220.973,1,1
17,2221.229,1,1
17,2221.485,1,1
17,2221.742,1,1
17,2221.998,1,1
17,2222.254,1,1
17,2222.511,1,1
17,2222.767,1,1
17,2223.023,1,1
17,2223.279,1,1
17,2223.535,1,1
17,2223.791,1,1
17,2224.047,1,1
17,2224.303,0,0
17,2224.559,0,0
17,2224.815,0,0
17,2225.071,0,0
17,2225.327,0,0
17,2225.583,0,0
17,2225.839,0,0
17,2226.095,0,0
17,2226.352,0,0
17,2226.608,0,0
17,2226.864,1,1
17,2227.121,1,1
17,2227.377,1,1
17,2227.633,1,1
17,2227.889,1,1
17,2228.145,1,1
17,2228.401,1,1
17,2228.657,1,1
17,2228.913,1,1
17,2229.169,1,1
17,2229.425,1,1
17,2229.681,1,1
17,2229.937,1,1
17,2230.193,1,1
17,2230.45,1,1
17,2230.706,0,0
17,2230.962,0,0
17,2231.218,0,0
17,2231.474,0,0
17,2231.73,0,0
17,2231.986,0,0
17,2232.242,0,0
17,2232.498,1,1
17,2232.754,1,1
17,2233.01,1,1
17,2233.266,1,1
17,2233.522,1,1
17,2233.778,1,1
17,2234.034,1,1
17,2234.29,1,1
17,2234.546,1,1
17,2234.802,1,1
17,2235.058,1,1
17,2235.314,1,1
17,2235.571,1,1
17,2235.827,1,1
17,2236.083,1,1
17,2236.339,1,1
17,2236.595,1,1
17,2236.853,1,1
17,2237.11,0,0
17,2237.366,0,0
17,2237.622,0,0
17,2237.878,0,0
17,2238.134,0,0
17,2238.39,0,0
17,2238.646,0,0
17,2238.902,0,0
17,2239.158,0,0
17,2239.4139999999998,0,0
17,2239.67,1,1
17,2239.926,1,1
17,2240.182,1,1
17,2240.438,1,1
17,2240.694,1,1
17,2240.95,1,1
17,2241.206,1,1
17,2241.462,1,1
17,2241.718,1,1
17,2241.974,1,1
17,2242.2309999999998,1,1
17,2242.487,1,1
17,2242.743,1,1
17,2242.999,1,1
17,2243.255,1,1
17,2243.511,1,1
17,2243.767,1,1
17,2244.023,1,1
17,2244.279,1,1
17,2244.535,1,1
17,2244.791,1,1
17,2245.047,1,1
17,2245.303,1,1
17,2245.559,1,1
17,2245.815,1,1
17,2246.071,1,1
17,2246.327,1,1
17,2246.583,1,1
17,2246.841,1,1
17,2247.097,1,1
17,2247.353,1,1
17,2247.609,1,1
17,2247.865,1,1
17,2248.121,0,0
17,2248.377,0,0
17,2248.633,0,0
17,2248.889,0,0
17,2249.145,0,0
13,2029.403,1,0
13,2029.659,1,1
13,2029.915,1,1
13,2030.171,0,0
13,2030.427,0,0
13,2030.683,0,0
13,2030.94,0,0
13,2031.196,0,0
13,2031.452,0,0
13,2031.709,0,0
13,2031.965,0,0
13,2032.221,1,1
13,2032.477,1,1
13,2032.989,1,1
13,2033.245,1,1
13,2033.501,1,1
13,2033.757,1,1
13,2034.013,1,1
13,2034.269,1,1
13,2034.525,1,1
13,2034.781,1,1
13,2035.037,1,1
13,2035.293,1,1
13,2035.549,1,1
13,2035.805,1,1
13,2036.061,1,1
13,2036.317,0,0
13,2036.573,0,0
13,2036.829,0,0
13,2037.085,0,0
13,2037.341,0,0
13,2037.597,0,0
13,2037.853,0,0
13,2038.109,0,0
13,2038.365,0,0
13,2038.622,0,0
13,2038.878,1,1
13,2039.134,1,1
13,2039.39,1,1
13,2039.646,1,1
13,2039.902,1,1
13,2040.158,1,1
13,2040.414,1,1
13,2040.67,1,1
13,2040.926,1,1
13,2041.182,1,1
13,2041.438,1,1
13,2041.694,1,1
13,2041.95,1,1
13,2042.206,1,1
13,2042.462,0,0
13,2042.718,0,0
13,2042.974,0,0
13,2043.23,0,0
13,2043.486,0,0
13,2043.742,0,0
13,2043.998,0,0
13,2044.254,0,0
13,2044.51,0,0
13,2044.766,0,0
13,2045.022,0,0
13,2045.278,0,0
13,2045.534,1,1
13,2045.79,1,1
13,2046.046,1,1
13,2046.302,1,1
13,2046.558,1,1
13,2046.814,1,1
13,2047.07,1,1
13,2047.326,1,1
13,2047.582,1,1
13,2047.838,1,1
13,2048.094,1,1
13,2048.35,1,1
13,2048.606,1,1
13,2048.862,1,1
13,2049.118,1,1
13,2049.374,1,1
13,2049.63,1,1
13,2049.886,1,1
13,2050.142,1,1
13,2050.398,1,1
13,2050.91,1,1
13,2051.166,1,1
13,2051.422,0,0
13,2051.678,0,0
13,2051.934,0,0
13,2052.19,0,0
13,2052.446,0,0
13,2052.702,0,0
13,2052.958,0,0
13,2053.214,0,0
13,2053.47,0,0
13,2053.726,0,0
13,2053.982,0,0
13,2054.238,0,0
13,2054.495,1,1
13,2054.751,1,1
13,2055.007,1,1
13,2055.263,1,1
13,2055.519,1,1
13,2055.775,1,1
13,2056.031,1,1
13,2056.287,1,1
13,2056.543,1,1
13,2056.799,1,1
13,2057.055,1,1
13,2057.311,1,1
13,2057.567,1,1
13,2057.823,1,1
13,2058.079,1,1
13,2058.335,1,1
13,2058.591,1,1
13,2058.849,1,1
13,2059.105,1,1
13,2059.361,1,1
13,2059.617,0,0
13,2059.873,0,0
13,2060.129,0,0
13,2060.385,0,0
13,2060.641,0,0
