Leg,Timestamp,Phase,Contact
5,299.54,1,0
5,299.796,1,0
5,300.052,1,1
5,300.308,1,1
5,300.564,1,1
5,300.82,1,1
5,301.076,1,1
5,301.332,1,1
5,301.588,1,1
5,301.845,1,1
5,302.357,0,0
5,302.613,0,0
5,302.869,0,0
5,303.125,0,0
5,303.382,0,0
5,303.638,0,0
5,303.894,0,0
5,304.15,0,0
5,304.406,0,0
5,304.662,0,0
5,304.918,0,0
5,305.174,0,0
5,305.43,0,0
5,305.686,0,0
5,305.942,0,0
5,306.198,0,0
5,306.454,0,0
5,306.71,0,0
5,306.966,1,1
5,307.222,1,1
5,307.478,1,1
5,307.734,1,1
5,307.99,1,1
5,308.246,1,1
5,308.504,1,1
5,308.76,1,1
5,309.016,1,1
5,309.272,1,1
5,309.528,1,0
5,309.784,0,0
5,310.04,0,0
5,310.296,0,0
5,310.552,0,0
5,310.808,0,0
5,311.064,0,0
5,311.32,0,0
5,311.576,0,0
5,311.832,0,0
5,312.088,0,0
5,312.344,0,0
5,312.6,0,0
5,312.856,0,0
5,313.112,0,0
5,313.368,0,0
5,313.624,0,0
5,313.88,0,0
5,314.136,0,0
5,314.392,0,0
5,314.648,1,1
5,314.904,1,1
5,315.161,1,1
5,315.417,1,1
5,315.673,1,1
5,315.929,1,1
5,316.185,1,1
5,316.441,1,1
5,316.697,1,1
5,316.953,1,1
5,317.209,0,0
5,317.465,0,0
5,317.721,0,0
5,317.977,0,0
5,318.233,0,0
5,318.489,0,0
5,318.745,0,0
5,319.001,0,0
5,319.514,0,0
5,319.77,0,0
5,320.026,1,1
5,320.282,1,1
5,320.538,1,1
5,320.794,1,1
5,321.05,1,1
5,321.306,1,1
5,321.562,1,1
5,321.818,1,1
5,322.074,1,1
5,322.33,1,1
5,322.586,1,1
5,322.842,1,1
5,323.098,1,1
5,323.354,1,1
5,323.61,1,1
5,323.866,1,1
5,324.122,1,1
5,324.378,1,1
5,324.634,1,1
5,324.89,1,1
5,325.146,1,1
5,325.402,1,1
5,325.658,1,1
5,325.914,1,1
5,326.17,1,1
