Leg,Timestamp,Phase,Contact
13,1535.311,1,0
13,1535.567,1,0
13,1535.823,0,0
13,1536.079,0,0
13,1536.335,0,0
13,1536.591,0,0
13,1536.847,0,0
13,1537.103,0,0
13,1537.359,0,0
13,1537.615,0,0
13,1537.871,0,0
13,1538.127,1,1
13,1538.385,1,1
13,1538.641,1,1
13,1538.897,1,1
13,1539.153,1,1
13,1539.409,1,1
13,1539.665,1,1
13,1539.921,1,1
13,1540.177,1,1
13,1540.433,1,1
13,1540.689,1,1
13,1540.945,1,1
13,1541.458,1,1
13,1541.714,1,1
13,1541.97,1,1
13,1542.226,1,1
13,1542.482,0,0
13,1542.738,0,0
13,1542.994,0,0
13,1543.25,0,0
13,1543.506,0,0
13,1543.762,0,0
13,1544.018,0,0
13,1544.274,0,0
13,1544.786,1,1
13,1545.042,1,1
13,1545.298,1,1
13,1545.554,1,1
13,1545.81,1,1
13,1546.066,1,1
13,1546.3220000000001,1,1
13,1546.578,1,1
13,1546.834,1,1
13,1547.091,1,1
13,1547.347,1,1
13,1547.603,1,1
13,1547.859,1,1
13,1548.115,1,1
13,1548.371,1,1
13,1548.627,1,1
13,1548.883,1,1
13,1549.139,1,1
13,1549.395,0,0
13,1549.651,0,0
13,1549.907,0,0
13,1550.163,0,0
13,1550.419,0,0
13,1550.675,0,0
13,1550.931,0,0
13,1551.187,0,0
13,1551.443,0,0
13,1551.699,0,0
13,1551.955,0,0
13,1552.211,1,1
13,1552.467,1,1
13,1552.723,1,1
13,1552.979,1,1
13,1553.235,1,1
13,1553.491,1,1
13,1553.747,1,1
13,1554.005,1,1
13,1554.262,1,1
13,1554.518,1,1
13,1554.774,1,1
13,1555.03,1,1
13,1555.286,1,1
13,1555.542,1,1
13,1555.798,1,1
13,1556.054,1,1
13,1556.31,1,1
13,1556.566,1,0
13,1556.8220000000001,1,0
13,1557.079,0,0
13,1557.335,0,0
13,1557.591,0,0
13,1557.847,0,0
13,1558.103,0,0
13,1558.359,0,0
13,1558.615,0,0
13,1558.871,0,0
13,1559.127,0,0
13,1559.383,1,1
13,1559.639,1,1
13,1559.897,1,1
13,1560.153,1,1
13,1560.409,1,1
13,1560.665,1,1
13,1560.921,1,1
13,1561.177,1,1
13,1561.433,1,1
13,1561.689,1,1
13,1561.945,1,1
13,1562.201,1,1
13,1562.457,1,1
13,1562.714,1,1
13,1562.97,1,1
13,1563.226,1,1
13,1563.482,1,1
13,1563.738,1,1
13,1563.994,0,0
13,1564.25,0,0
13,1564.506,0,0
13,1564.762,0,0
13,1565.018,0,0
13,1565.53,1,1
13,1565.786,1,1
13,1566.042,1,1
13,1566.298,1,1
13,1566.554,1,1
13,1566.81,1,1
13,1567.066,1,1
13,1567.3220000000001,1,1
13,1567.578,1,1
13,1567.834,1,1
13,1568.09,1,1
13,1568.346,1,1
13,1568.602,1,1
13,1568.858,1,1
13,1569.114,1,1
13,1569.37,0,0
13,1569.626,0,0
13,1569.882,0,0
13,1570.139,0,0
13,1570.395,1,1
13,1570.652,1,1
13,1570.908,1,1
13,1571.164,1,1
13,1571.42,1,1
13,1571.676,1,1
13,1571.932,1,1
13,1572.188,1,1
13,1572.444,1,1
13,1572.7,1,1
13,1572.958,1,1
13,1573.214,1,1
13,1573.47,1,1
13,1573.727,0,0
13,1573.984,0,0
13,1574.241,0,0
13,1574.497,0,0
13,1574.753,0,0
13,1575.009,0,0
13,1575.265,0,0
13,1575.521,0,0
13,1575.777,0,0
13,1576.033,1,1
13,1576.289,1,1
13,1576.545,1,1
13,1576.801,1,1
13,1577.057,1,1
13,1577.313,1,1
13,1577.569,1,1
13,1577.825,1,1
13,1578.081,1,1
13,1578.337,1,1
13,1578.593,1,1
13,1578.849,1,1
13,1579.105,1,1
13,1579.361,1,1
13,1579.617,1,1
13,1579.873,1,1
13,1580.129,1,1
13,1580.385,1,1
13,1580.641,1,1
13,1580.897,0,0
13,1581.153,0,0
13,1581.409,0,0
13,1581.665,0,0
13,1581.921,0,0
13,1582.177,0,0
13,1582.433,0,0
13,1582.689,1,1
13,1582.945,1,1
13,1583.201,1,1
13,1583.4569999999999,1,1
13,1583.713,1,1
13,1583.969,1,1
13,1584.225,1,1
13,1584.481,1,1
13,1584.737,1,1
13,1584.993,1,1
13,1585.25,1,1
13,1585.506,1,1
13,1585.762,1,1
13,1586.018,1,1
13,1586.274,1,1
13,1586.53,1,1
13,1586.786,1,1
13,1587.042,1,1
13,1587.298,0,0
13,1587.554,0,0
13,1587.81,0,0
13,1588.066,0,0
13,1588.3220000000001,0,0
13,1588.578,0,0
13,1588.834,0,0
13,1589.09,0,0
13,1589.346,1,1
13,1589.602,1,1
13,1589.858,1,1
13,1590.114,1,1
13,1590.37,1,1
13,1590.626,1,1
13,1590.882,1,1
13,1591.139,1,1
13,1591.396,1,1
13,1591.652,1,1
13,1591.908,1,1
13,1592.164,1,1
13,1592.42,1,1
13,1592.676,1,1
13,1592.932,1,1
13,1593.189,1,1
13,1593.446,0,0
13,1593.703,0,0
13,1593.959,0,0
13,1594.215,0,0
13,1594.471,0,0
13,1594.727,0,0
13,1594.983,0,0
13,1595.239,1,1
13,1595.495,1,1
13,1595.751,1,1
13,1596.007,1,1
13,1596.263,1,1
13,1596.519,1,1
13,1597.031,1,1
13,1597.287,1,1
13,1597.5430000000001,1,1
13,1597.799,1,1
13,1598.055,1,1
13,1598.311,1,0
13,1598.567,1,1
13,1598.823,1,1
13,1599.079,1,1
13,1599.335,1,1
13,1599.591,1,1
13,1599.847,0,0
13,1600.103,0,0
13,1600.359,0,0
13,1600.616,0,0
13,1600.872,0,0
13,1601.128,0,0
13,1601.384,1,1
13,1601.64,1,1
13,1601.896,1,1
13,1602.152,1,1
13,1602.408,1,1
13,1602.664,1,1
13,1602.92,1,1
13,1603.176,1,1
13,1603.432,1,1
13,1603.688,1,1
13,1603.944,1,1
13,1604.456,1,1
13,1604.712,1,1
13,1604.968,1,1
13,1605.225,1,1
13,1605.738,1,1
13,1605.994,1,1
13,1606.25,0,0
13,1606.506,0,0
13,1606.762,0,0
13,1607.018,0,0
13,1607.274,0,0
13,1607.53,0,0
13,1607.786,0,0
13,1608.042,1,1
13,1608.299,1,1
13,1608.555,1,1
13,1608.811,1,1
13,1609.067,1,1
13,1609.323,1,1
13,1609.579,1,1
13,1609.835,1,1
13,1610.091,1,1
13,1610.347,1,1
13,1610.603,1,1
13,1610.859,1,1
13,1611.115,1,1
13,1611.371,1,1
13,1611.627,1,1
13,1611.883,1,1
13,1612.14,1,1
13,1612.396,0,0
13,1612.652,0,0
13,1612.908,0,0
13,1613.164,0,0
13,1613.42,0,0
13,1613.676,0,0
13,1613.932,0,0
13,1614.188,0,0
13,1614.444,1,1
13,1614.7,1,1
13,1614.9569999999999,1,1
13,1615.213,1,1
13,1615.469,1,1
13,1615.725,1,1
13,1615.981,1,1
13,1616.237,1,1
13,1616.493,1,1
13,1616.749,1,1
13,1617.005,1,1
13,1617.261,1,1
13,1617.517,1,1
13,1617.773,1,1
13,1618.029,1,1
13,1618.285,1,1
13,1618.541,1,1
13,1619.0529999999999,1,1
13,1619.309,1,1
13,1619.565,1,1
13,1619.821,0,0
13,1620.077,0,0
13,1620.333,0,0
13,1620.589,0,0
13,1620.845,0,0
13,1621.101,0,0
13,1621.357,1,1
13,1621.613,1,1
13,1621.869,1,1
13,1622.125,1,1
13,1622.381,1,1
13,1622.637,1,1
13,1622.893,1,1
13,1623.149,1,1
13,1623.405,1,1
13,1623.661,1,1
13,1623.917,1,1
13,1624.173,1,1
13,1624.429,1,1
13,1624.685,1,1
13,1624.941,1,1
13,1625.1970000000001,1,1
5,1535.566,1,1
5,1535.8220000000001,1,1
5,1536.078,1,1
5,1536.334,1,1
5,1536.59,1,1
5,1536.846,1,1
5,1537.102,1,1
5,1537.358,1,1
5,1537.614,1,1
5,1537.87,1,1
5,1538.126,1,1
5,1538.382,1,1
5,1538.638,1,1
5,1538.895,1,1
5,1539.151,0,0
5,1539.407,0,0
5,1539.663,0,0
5,1539.919,0,0
5,1540.176,0,0
5,1540.432,0,0
5,1540.688,0,0
5,1540.944,0,0
5,1541.456,0,0
5,1541.712,1,1
5,1541.968,1,1
5,1542.224,1,1
5,1542.48,1,1
5,1542.736,1,1
5,1542.992,1,1
5,1543.504,1,1
5,1543.76,1,1
5,1544.016,1,1
5,1544.273,1,1
5,1544.529,1,1
5,1544.785,1,1
5,1545.041,0,0
5,1545.297,0,0
5,1545.5529999999999,0,0
5,1545.809,0,0
5,1546.065,0,0
5,1546.321,0,0
5,1546.577,0,0
5,1546.833,0,0
5,1547.089,0,0
5,1547.346,0,0
5,1547.602,0,0
5,1547.858,0,0
